size,k,dimension,scann_time,fgc_time,count
100000,40,18,3790.6718730926523,1705.9819459915166,10
100000,40,19,3873.5469102859497,1609.6596956253052,10
100000,40,20,3869.5114374160767,1820.9220170974731,10
100000,40,21,3919.892144203186,2147.0107555389404,10
100000,40,22,3918.103575706481,2840.4514789581303,10
100000,40,23,3990.8314704895033,2668.394637107849,10
100000,40,24,3977.4928331375113,2714.17636871338,10
100000,40,25,4060.1288080215454,3214.141035079956,10
100000,40,26,4083.921694755554,3549.4940757751465,10
100000,40,27,4152.296614646912,3634.524798393248,10
100000,40,28,4140.497040748596,3735.004496574402,10
100000,40,29,4221.224236488342,3728.8615465164185,10
100000,40,30,4226.230812072754,4361.388421058655,10
100000,40,31,4313.116669654846,4254.799103736877,10
100000,40,32,4265.890407562256,6352.930331230164,10
100000,40,33,4382.061839103699,3964.333987236024,10
100000,40,34,4321.001338958741,5105.063843727112,10
100000,40,35,4499.883484840393,5184.940767288208,10
100000,40,36,4472.520589828491,5080.1631689071655,10
100000,40,37,4657.086825370789,5388.041424751282,10
100000,40,38,4599.965953826904,5617.7799463272095,10
100000,40,39,4651.914048194885,5683.328008651733,10
100000,40,40,4675.996899604797,5297.164273262024,10
100000,40,41,4721.80757522583,5346.603059768677,10
100000,40,42,4753.143048286438,6114.85311985016,10
100000,40,43,4832.943034172058,6817.399477958679,10
100000,40,44,4849.729323387146,5714.873790740967,10
100000,40,45,4962.917065620422,7111.958265304565,10
100000,40,46,5197.671175003052,6588.362669944763,10
100000,40,47,5060.474467277527,5728.898286819458,10
100000,40,48,5129.229807853699,8379.992294311523,10
100000,40,49,5216.000437736512,6438.875460624695,10
100000,40,50,5186.647653579712,7238.9981508255005,10
100000,40,51,5144.592070579529,7571.535420417786,10
100000,40,52,5202.162027359009,7412.103319168091,10
100000,40,53,5347.811675071717,7934.5603704452515,10
100000,40,54,5365.159773826599,7842.898774147034,10
100000,40,55,5458.37709903717,7736.294460296631,10
100000,40,56,5453.623104095459,7027.350044250488,10
100000,40,57,5526.50043964386,7397.650480270386,10
100000,40,58,5723.268079757691,7755.101537704468,10
100000,40,59,5641.33415222168,7391.834235191345,10
100000,40,60,5750.44310092926,7737.511706352234,10
100000,40,61,5762.6102685928345,8063.952159881592,10
100000,40,62,5793.124508857727,8081.365990638733,10
100000,40,63,5915.068936347961,8489.97175693512,10
100000,40,64,5874.501204490662,12083.234357833864,10
100000,40,65,5870.051145553589,9104.537320137024,10
100000,40,66,6011.520075798035,8443.463063240051,10
100000,40,67,6007.537579536438,9750.468635559086,10
100000,40,68,6062.422823905945,9341.778969764708,10
100000,40,69,6091.262364387513,8399.788928031921,10
100000,40,70,6126.778173446655,9306.359696388245,10
100000,40,71,6184.283256530762,8756.768894195557,10
100000,40,72,6277.376198768616,9952.495646476744,10
100000,40,73,6330.8186292648315,8189.640283584595,10
100000,40,74,6316.887259483337,9275.115561485289,10
100000,40,75,6442.603826522827,9576.924467086792,10
100000,40,76,6467.144870758057,9773.220038414,10
100000,40,77,6567.5617933273315,9908.55360031128,10
100000,40,78,6531.704354286194,9905.443692207336,10
100000,40,79,6589.904689788818,9938.3003950119,10
100000,40,80,6650.572848320007,12080.60233592987,10
100000,40,81,6758.021926879883,10394.045901298525,10
100000,40,82,6686.540842056274,10606.44073486328,10
100000,40,83,6838.49470615387,9878.03373336792,10
100000,40,84,6805.7477951049805,11080.49578666687,10
100000,40,85,6858.03530216217,10435.93323230743,10
100000,40,86,6932.273769378662,11837.919783592224,10
100000,40,87,6925.727462768555,11295.456361770632,10
100000,40,88,6985.12396812439,10246.419787406923,10
100000,40,89,7108.746242523193,10271.185827255247,10
100000,40,90,7156.91614151001,11643.526339530948,10
100000,40,91,7225.087380409241,11288.59133720398,10
100000,40,92,7180.396151542664,11999.60088729858,10
100000,40,93,7343.2687520980835,11446.304941177372,10
100000,40,94,7507.444715499878,11491.415786743164,10
100000,40,95,7548.058366775513,12151.442956924438,10
100000,40,96,7456.267094612122,16954.099678993225,10
100000,40,97,7471.149444580078,11769.675612449646,10
100000,40,98,7608.078694343567,12276.489996910092,10
100000,40,99,7595.850944519043,12695.50335407257,10
100000,40,100,7717.18647480011,13195.804238319393,10
100000,100,2,3371.3284254074097,60.78915596008301,10
100000,100,3,3392.213503519694,45.21431922912599,15
100000,100,4,3471.178150177002,104.581093788147,10
100000,100,5,4130.955696105957,137.00849215189615,15
100000,100,6,3651.409053802491,221.31247520446772,10
100000,100,7,3721.4605569839487,352.4104833602905,10
100000,100,8,3730.246639251709,375.99999904632574,10
100000,100,9,3834.03217792511,572.5824594497681,10
100000,100,10,4456.084454059601,550.5885720252991,20
100000,100,11,3960.668182373047,684.7108840942383,10
100000,100,12,3929.338836669923,774.3988275527954,10
100000,100,13,3979.3545484542847,944.9577331542966,10
100000,100,14,3968.141031265259,1074.8275518417356,10
100000,100,15,4014.396381378174,1171.1807727813718,10
100000,100,16,3989.495015144348,1746.6273546218872,10
100000,100,17,4087.2350692749023,1689.682412147522,10
100000,100,18,4106.131029129028,1721.4743614196773,10
100000,100,19,4148.628330230713,1558.338022232056,10
100000,100,20,4148.644495010376,1827.243590354919,10
100000,100,21,4227.065658569336,2015.811800956726,10
100000,100,22,4248.28417301178,2232.236957550049,10
100000,100,23,4274.434304237366,2373.715662956238,10
100000,100,24,4283.666777610779,2131.125545501709,10
100000,100,25,4385.123348236084,2503.55544090271,10
100000,100,26,4398.456692695618,2929.825758934021,10
100000,100,27,4448.348140716553,2881.430768966675,10
100000,100,28,4440.169930458069,2860.046410560608,10
100000,100,29,4559.199309349061,3227.5493383407593,10
100000,100,30,4524.827265739441,3311.4861488342285,10
100000,100,31,4592.035937309265,3567.8898334503174,10
100000,100,32,4608.216547966003,5785.014271736145,10
100000,100,33,4787.106490135193,3342.153763771057,10
100000,100,34,4751.197957992554,4124.953103065491,10
100000,100,35,4841.444993019104,3988.853645324707,10
100000,100,36,4815.843319892883,4121.164584159851,10
100000,100,37,4937.187266349793,3988.619303703308,10
100000,100,38,4964.042544364929,4236.2016677856445,10
100000,100,39,5005.349159240723,4451.219773292542,10
100000,100,40,4991.770672798157,4322.996449470521,10
100000,100,41,5104.571771621704,4709.113049507142,10
100000,100,42,5138.022708892823,4772.963857650757,10
100000,100,43,5142.183208465576,5004.996681213379,10
100000,100,44,5214.9564027786255,4713.35711479187,10
100000,100,45,5227.109003067017,5033.239459991455,10
100000,100,46,5250.487065315248,5461.199998855591,10
100000,100,47,5472.579646110535,4920.436501502992,10
100000,100,48,5340.9897327423105,6518.57385635376,10
100000,100,49,5447.269415855408,5564.272880554199,10
100000,100,50,5469.694137573242,5751.193404197693,10
100000,100,51,5564.405918121338,5921.7857122421265,10
100000,100,52,5515.660667419434,6272.281932830811,10
100000,100,53,5671.603560447694,6343.624019622803,10
100000,100,54,5648.268675804138,5922.455549240112,10
100000,100,55,5805.64546585083,6241.421055793762,10
100000,100,56,5735.739588737488,6083.3899974823,10
100000,100,57,5845.324468612671,6043.050837516785,10
100000,100,58,5835.360240936279,6379.916143417358,10
100000,100,59,5882.738709449768,6435.092234611511,10
100000,100,60,5954.499626159668,6941.772079467773,10
100000,100,61,6015.58039188385,6703.50604057312,10
100000,100,62,6043.2373046875,6865.255618095398,10
100000,100,63,6260.334300994873,6914.77997303009,10
100000,100,64,6105.213761329651,11449.18756484985,10
100000,100,65,6349.5275020599365,7420.628714561462,10
100000,100,66,6186.843132972717,7168.854737281799,10
100000,100,67,6168.288350105286,7371.977806091309,10
100000,100,68,6169.6967124938965,8113.938474655151,10
100000,100,69,6292.033791542053,7782.542395591736,10
100000,100,70,6349.422717094421,8538.462090492249,10
100000,100,71,6470.113635063171,8116.189074516296,10
100000,100,72,6455.282115936279,7630.252289772034,10
100000,100,73,6580.495929718018,7653.311777114866,10
100000,100,74,6658.980512619019,8280.91790676117,10
100000,100,75,6738.737988471987,8432.778429985046,10
100000,100,76,6690.845012664797,9147.483134269714,10
100000,100,77,6716.568779945375,8902.45394706726,10
100000,100,78,6800.125765800476,9420.016860961916,10
100000,100,79,6858.487486839294,9126.415634155272,10
100000,100,80,6913.653922080994,9998.159384727478,10
100000,100,81,7021.964716911316,9583.590197563171,10
100000,100,82,7001.768922805786,10032.010412216188,10
100000,100,83,7086.3030433654785,9189.129495620731,10
100000,100,84,7101.523399353027,10656.864643096926,10
100000,100,85,7233.844900131226,9634.243202209473,10
100000,100,86,7227.717590332031,9958.637809753418,10
100000,100,87,7285.9514236450195,10570.817756652832,10
100000,100,88,7419.208073616028,10284.209012985228,10
100000,100,89,7311.192560195923,9496.905708312986,10
100000,100,90,7333.360934257507,10342.6735162735,10
100000,100,91,7484.485173225403,10853.260874748228,10
100000,100,92,7544.196677207947,10927.341580390928,10
100000,100,93,7574.817204475401,10644.437909126282,10
100000,100,94,7554.77237701416,10857.27365016937,10
100000,100,95,7615.333795547485,10985.102701187136,10
100000,100,96,7679.010462760925,16304.428100585938,10
100000,100,97,7738.250708580017,10904.179644584654,10
100000,100,98,7682.650113105774,11674.43814277649,10
100000,100,99,7818.109202384949,10727.4585723877,10
100000,100,100,7866.022419929504,11488.95823955536,10
150000,10,3,4092.53191947937,9.464502334594728,1
150000,10,5,4264.910697937012,117.88129806518558,5
150000,10,10,4765.760183334351,555.7084083557129,5
150000,40,3,7095.372915267944,27.4045467376709,5
150000,40,5,5534.393548965454,181.16521835327148,5
150000,40,10,6206.207513809204,774.0938663482666,5
150000,100,3,5674.856662750244,60.08291244506836,5
150000,100,5,7731.552124023436,316.44201278686523,5
150000,100,10,7982.887268066406,982.8147888183594,10
200000,10,3,5622.779607772827,10.833740234375,1
200000,10,5,6133.4874629974365,135.9245777130127,5
200000,10,10,7263.082265853882,532.6488018035889,5
200000,40,3,7605.423927307129,19.89126205444336,5
200000,40,5,7694.130420684814,239.4323348999023,5
200000,40,10,9000.267028808594,1122.7984428405762,5
200000,100,3,7835.169076919556,108.2310676574707,5
200000,100,5,8895.235538482666,349.0297794342041,5
200000,100,10,9187.548875808716,1488.3277416229248,10
250000,10,3,7691.2522315979,11.226892471313477,1
250000,10,5,7759.3324184417725,190.87481498718265,5
250000,10,10,9374.122142791748,711.8797302246094,5
250000,40,3,9191.099882125854,47.46675491333008,5
250000,40,5,9671.008110046389,348.8788604736328,5
250000,40,10,11169.467687606812,1468.8234329223633,5
250000,100,3,10464.434385299684,71.75993919372559,5
250000,100,5,13834.080219268802,512.8812789916992,5
250000,100,10,12389.031410217283,1940.8237934112549,10
300000,10,3,9568.008661270142,11.926889419555664,1
300000,10,5,9650.568962097168,225.42786598205572,5
300000,10,10,13047.971963882446,866.5900230407715,5
300000,40,3,12082.564353942871,33.96153450012207,5
300000,40,5,12305.73844909668,410.7379913330078,5
300000,40,10,14683.574438095093,1910.2771282196045,5
300000,100,3,12406.107902526855,64.70489501953125,5
300000,100,5,14489.252090454102,617.0802116394043,5
300000,100,10,15438.806772232056,2339.9603366851807,10
350000,10,3,11410.020351409912,15.186786651611328,1
350000,10,5,11333.093166351318,303.0710220336914,5
350000,10,10,14028.13458442688,1100.475549697876,5
350000,40,3,14501.089096069336,56.66780471801758,5
350000,40,5,14274.430513381958,470.7202911376953,5
350000,40,10,16595.41130065918,2639.9807929992676,5
350000,100,3,15866.72854423523,103.96790504455566,5
350000,100,5,17246.636152267456,797.1196174621582,5
350000,100,10,18819.79179382324,3125.725746154785,10
400000,10,3,12934.903860092165,17.618179321289062,1
400000,10,5,13525.900840759274,378.0331611633301,5
400000,10,10,16910.550594329834,1416.687250137329,5
400000,40,3,16254.782915115356,65.60373306274414,5
400000,40,5,17244.57359313965,507.2298049926758,5
400000,40,10,18971.73762321472,3015.7861709594727,5
400000,100,3,17615.545749664307,99.22599792480467,5
400000,100,5,20905.84969520569,946.8393325805664,5
400000,100,10,21809.926986694336,3862.0288372039786,10
450000,10,3,14512.344121932983,20.923852920532227,1
450000,10,5,15420.207023620602,431.78677558898926,5
450000,10,10,19645.67708969116,1653.673648834228,5
450000,40,3,19310.25981903076,67.4736499786377,5
450000,40,5,19934.836626052856,696.3419914245605,5
450000,40,10,22176.806688308716,4115.79704284668,5
450000,100,3,20397.305011749268,98.08850288391112,5
450000,100,5,25687.788486480713,1100.5549430847168,5
450000,100,10,25390.00630378723,4846.496343612671,10
500000,10,3,17554.11410331726,24.01280403137207,1
500000,10,5,17608.577013015747,536.6859436035156,5
500000,10,10,22164.921045303345,1918.139934539795,5
500000,40,3,21611.451625823975,69.48971748352051,5
500000,40,5,21513.129711151123,726.8877029418945,5
500000,40,10,25628.93557548523,4260.39981842041,5
500000,100,3,23122.281312942505,145.54429054260254,5
500000,100,5,24934.86499786377,1222.4552631378174,5
500000,100,10,28500.82039833069,5199.53179359436,10
550000,10,3,20468.60289573669,27.876853942871097,1
550000,10,5,20011.80911064148,554.8567771911621,5
550000,10,10,25155.6339263916,2296.7662811279297,5
550000,40,3,24282.3646068573,99.47013854980467,5
550000,40,5,23718.494653701782,873.6140727996826,5
550000,40,10,28031.83150291443,5204.118728637695,5
550000,100,3,26116.44506454468,133.8341236114502,5
550000,100,5,25621.601104736328,1368.1426048278809,5
550000,100,10,32053.830862045288,6300.239324569702,10
600000,10,3,21443.702459335327,33.26988220214844,1
600000,10,5,23910.16125679016,897.7603912353516,5
600000,10,10,26746.32453918457,2724.85899925232,5
600000,40,3,26922.414779663093,84.64670181274414,5
600000,40,5,27713.485956192017,1053.2951354980469,5
600000,40,10,30211.44008636474,6173.234224319458,5
600000,100,3,27919.4118976593,221.52280807495117,5
600000,100,5,30283.19525718689,1657.9196453094482,5
600000,100,10,37723.8929271698,7255.215644836426,10
650000,10,3,24580.82795143127,38.23113441467285,1
650000,10,5,26456.189155578613,699.0315914154053,5
650000,10,10,28710.24465560913,3125.1673698425293,5
650000,40,3,29893.2523727417,117.57993698120114,5
650000,40,5,31289.65711593628,1184.657096862793,5
650000,40,10,35880.45811653137,7052.217960357666,5
650000,100,3,31652.714729309075,199.40900802612305,5
650000,100,5,32873.533725738525,2016.1354541778564,5
650000,100,10,39059.8201751709,8456.16626739502,10
700000,10,3,25789.50238227844,43.41316223144531,1
700000,10,5,29687.07299232483,747.3578453063965,5
700000,10,10,35853.97553443909,3571.554183959961,5
700000,40,3,33530.88355064392,175.93693733215332,5
700000,40,5,34129.7402381897,1374.8712539672852,5
700000,40,10,39115.4682636261,7754.487037658691,5
700000,100,3,34091.60351753235,215.80100059509277,5
700000,100,5,36390.29669761658,1921.715497970581,5
700000,100,10,41798.04754257202,9432.620286941528,10
750000,10,3,29516.59107208252,48.87127876281738,1
750000,10,5,33528.18465232849,851.9730567932129,5
750000,10,10,33505.74207305908,4148.338794708252,5
750000,40,3,36191.657304763794,115.42582511901855,5
750000,40,5,37344.01226043701,1522.4847793579102,5
750000,40,10,43098.501443862915,9101.959466934204,5
750000,100,3,37984.81225967407,200.57439804077148,5
750000,100,5,39349.03311729431,2209.3489170074463,5
750000,100,10,47314.69130516052,10799.630403518677,10
800000,10,3,31552.988290786743,54.859161376953125,1
800000,10,5,34141.28637313843,980.3223609924316,5
800000,10,10,35899.982929229736,4662.934064865112,5
800000,40,3,38885.11681556702,162.98222541809082,5
800000,40,5,40747.41339683533,1541.8286323547363,5
800000,40,10,45656.5523147583,9661.356687545776,5
800000,100,3,37612.31589317322,217.23175048828125,5
800000,100,5,40810.99557876587,2515.7017707824707,5
800000,100,10,49596.551179885864,12425.607204437256,10
850000,10,3,33233.77466201782,63.24148178100586,1
850000,10,5,37573.61888885498,1102.6012897491455,5
850000,10,10,39579.32472229004,5303.935289382935,5
850000,40,3,42389.61148262024,177.79088020324707,5
850000,40,5,44223.47068786621,1859.2510223388672,5
850000,40,10,50898.16737174988,11262.793779373167,5
850000,100,3,41494.43197250366,272.0963954925537,5
850000,100,5,46816.16258621216,2800.2395629882812,5
850000,100,10,53937.0539188385,13952.187299728394,10
900000,10,3,36701.64179801941,71.41494750976562,1
900000,10,5,38744.58575248718,1224.2801189422607,5
900000,10,10,41375.18620491028,5900.670289993286,5
900000,40,3,44419.28672790527,216.5541648864746,5
900000,40,5,47746.60682678223,1962.1405601501465,5
900000,40,10,53441.83421134949,13328.370809555054,5
900000,100,3,44181.29372596741,231.35638236999512,5
900000,100,5,50428.61032485962,2971.851348876953,5
900000,100,10,58059.484004974365,15079.170227050778,10
950000,10,3,39282.68003463745,78.56869697570801,1
950000,10,5,37940.85288047791,1446.3067054748535,5
950000,10,10,44336.34614944458,6432.311296463013,5
950000,40,3,47659.25049781799,194.79012489318848,5
950000,40,5,50657.85527229309,2075.357437133789,5
950000,40,10,57609.65847969055,14835.30855178833,5
950000,100,3,50539.37864303589,281.735897064209,5
950000,100,5,55631.62422180176,3178.97367477417,5
950000,100,10,69931.67686462402,16866.875171661377,10
1000000,10,2,47057.897090911865,903.9368629455566,5
1000000,10,3,41920.968770980835,175.02009868621826,6
1000000,10,4,42452.18276977539,579.369068145752,5
1000000,10,5,43750.394105911255,1596.2333679199219,10
1000000,10,6,44764.47010040283,3021.472215652466,5
1000000,10,7,57163.46883773804,5260.843753814697,5
1000000,10,8,53586.64035797119,6341.205596923828,5
1000000,10,9,56131.598711013794,9288.949489593506,5
1000000,10,10,48359.10642147064,11500.563263893127,10
1000000,10,11,49817.86847114563,16908.206701278687,5
1000000,10,12,52767.78507232666,20830.845832824707,5
1000000,10,13,53353.11222076416,25950.331449508667,5
1000000,10,14,54485.586404800415,29837.80336380005,5
1000000,10,15,54436.851263046265,33429.64172363281,5
1000000,10,16,54612.38837242128,89549.72791671753,5
1000000,10,17,56747.9407787323,45207.83233642578,5
1000000,10,18,56091.43114089966,49487.56551742554,5
1000000,10,19,58257.62605667114,51986.05704307556,5
1000000,10,20,57421.04983329773,56657.71675109863,5
1000000,10,21,61535.22181510925,64718.74642372131,5
1000000,10,22,58107.03706741333,70496.7041015625,5
1000000,10,23,59204.94127273561,75921.13637924194,5
1000000,10,24,60393.497943878174,97703.03225517271,5
1000000,10,25,61050.10080337526,89021.16966247559,5
1000000,10,26,59677.97064781189,96415.385723114,5
1000000,10,27,63632.18855857849,99791.65077209473,5
1000000,10,28,63756.63256645203,100258.71014595032,5
1000000,10,29,63961.99131011963,117025.9211063385,5
1000000,10,30,63532.28664398193,120595.27468681335,5
1000000,10,31,66165.18068313599,131370.57852745056,5
1000000,10,32,66604.54607009888,422090.4278755188,5
1000000,10,33,67390.66696166992,147317.56329536438,5
1000000,10,34,68712.45574951172,148642.0226097107,5
1000000,10,35,70545.05610466003,150304.76236343384,5
1000000,10,36,70765.01727104187,155816.58816337585,5
1000000,10,37,74251.14870071411,165925.7972240448,5
1000000,10,38,73810.36043167114,170671.82517051697,5
1000000,10,39,73565.71555137634,177521.50297164917,5
1000000,10,40,72199.02348518372,203341.1910533905,5
1000000,10,41,76025.21014213562,186435.82487106323,5
1000000,10,42,75905.94029426575,190826.3885974884,5
1000000,10,43,77510.78367233276,193238.361120224,5
1000000,10,44,78354.57158088684,199628.0720233917,5
1000000,10,45,80647.66645431519,211687.89768219,5
1000000,10,46,80713.76705169678,223632.14468956,5
1000000,10,47,81871.77968025208,219384.76943969727,5
1000000,10,48,82335.73532104492,349127.18319892883,5
1000000,10,49,84354.57396507263,139776.46660804749,5
1000000,10,50,93628.28612327576,171197.4594593048,5
1000000,40,2,48688.11082839966,410.2311134338379,5
1000000,40,3,48999.74548816681,182.49940872192383,10
1000000,40,4,48313.72165679932,777.8139114379883,5
1000000,40,5,51896.289467811584,2035.3820323944092,10
1000000,40,6,50867.16198921204,3333.890676498413,5
1000000,40,7,52929.89683151245,5263.443946838379,5
1000000,40,8,54350.13246536255,5905.179500579834,5
1000000,40,9,56421.17142677307,13091.307163238524,5
1000000,40,10,59068.74990463257,18764.352321624752,10
1000000,40,11,60224.79319572449,23143.579483032227,5
1000000,40,12,61093.30320358278,25718.53494644165,5
1000000,40,13,62154.20651435852,32814.518451690674,5
1000000,40,14,61719.35296058655,38070.92881202698,5
1000000,40,15,63457.75961875917,45261.74259185791,5
1000000,40,16,63244.71354484558,114244.5414066315,5
1000000,40,17,66361.0475063324,55675.12583732605,5
1000000,40,18,67066.06364250183,59090.02113342285,5
1000000,40,19,67991.07146263123,64756.44659996033,5
1000000,40,20,68178.82442474365,69474.25889968872,5
1000000,40,21,69734.51519012451,80799.33786392212,5
1000000,40,22,71069.50306892395,85930.64260482788,5
1000000,40,23,72069.828748703,90627.90751457214,5
1000000,40,24,70814.90540504456,113292.54627227786,5
1000000,40,25,73301.49221420288,104605.16238212584,5
1000000,40,26,74095.67713737488,115295.89223861694,5
1000000,40,27,76114.00437355042,120658.44511985782,5
1000000,40,28,74223.67119789124,122347.0561504364,5
1000000,40,29,76384.441614151,138836.22908592224,5
1000000,40,30,78520.97177505493,154733.7830066681,5
1000000,40,31,79499.2687702179,161323.60792160034,5
1000000,40,32,78880.63144683838,512585.8178138733,5
1000000,40,33,82802.64854431152,168982.48720169067,5
1000000,40,34,84924.30090904236,170455.62601089478,5
1000000,40,35,84498.08025360107,186896.6147899628,5
1000000,40,36,83586.20142936707,184871.00291252136,5
1000000,40,37,85201.86614990234,192156.71396255493,5
1000000,40,38,86025.55441856384,205407.212972641,5
1000000,40,39,86402.9188156128,207489.4819259644,5
1000000,40,40,87786.17525100708,234290.54069519043,5
1000000,40,41,88285.7666015625,222752.7141571045,5
1000000,40,42,88153.43046188354,237929.03232574463,5
