size,k,dimension,faiss_time,fgc_time,count
450000,100,10,4964.4200801849365,5103.456497192383,3
500000,10,3,4088.001251220703,44.968048731486,3
500000,10,5,4085.7690970102944,532.0608615875244,3
500000,10,10,4162.88693745931,4207.028388977051,3
500000,40,3,5248.279730478923,74.9968687693278,3
500000,40,5,5291.0856405893965,779.3901761372884,3
500000,40,10,5525.219996770223,5020.044406255086,3
500000,100,3,5817.08296140035,168.5639222462972,3
500000,100,5,5777.187506357829,1235.4912757873535,3
500000,100,10,6158.7239901224775,6210.039695103963,3
600000,10,3,5917.977492014567,82.87461598714192,3
600000,10,5,5901.955445607503,717.3440456390381,3
600000,10,10,6097.277561823527,5790.899991989136,3
600000,40,3,7526.215632756551,89.36444918314616,3
600000,40,5,7587.122122446696,1160.314639409383,3
600000,40,10,7778.073628743489,7104.092836380005,3
600000,100,3,8221.364816029867,189.39550717671713,3
600000,100,5,8289.36799367269,1689.115842183431,3
600000,100,10,8512.597799301147,8387.658993403116,3
700000,10,3,7967.9122765858965,86.43515904744466,3
700000,10,5,7938.998222351074,935.0385665893555,3
700000,10,10,8154.733816782634,7242.876927057902,3
700000,40,3,10176.366567611694,148.4668254852295,3
700000,40,5,10244.128465652466,1342.835823694865,3
700000,40,10,10805.005629857382,9025.076071421305,3
700000,100,3,11155.928293863932,237.63219515482584,3
700000,100,5,11236.843029657999,2068.5367584228516,3
700000,100,10,11343.958218892416,10913.315773010254,3
800000,10,3,10322.050253550211,112.04282442728679,3
800000,10,5,10388.231674830118,1205.907901128133,3
800000,10,10,10134.482542673746,9868.218342463177,3
800000,40,3,13409.362157185873,158.42429796854654,3
800000,40,5,13478.582700093588,1687.5465710957844,3
800000,40,10,13859.276056289673,11774.649779001871,3
800000,100,3,14587.181806564331,294.25541559855145,3
800000,100,5,14575.864315032959,2566.06388092041,3
800000,100,10,15270.803769429525,14115.856726964315,3
900000,10,3,13138.11445236206,157.81044960021973,3
900000,10,5,13119.038979212442,1421.9964345296223,3
900000,10,10,13516.944090525309,12202.67120997111,3
900000,40,3,16691.83913866679,223.5871156056722,3
900000,40,5,16674.73594347636,1977.7201811472576,3
900000,40,10,17224.315881729126,15130.359967549644,3
900000,100,3,17952.600797017414,350.9805202484131,3
900000,100,5,17916.07411702474,3038.0094846089683,3
900000,100,10,18715.436140696205,17754.733244578045,3
1000000,10,2,13636.07390721639,425.86684226989746,3
1000000,10,3,16223.299066225687,185.67800521850586,6
1000000,10,4,16365.27144908905,593.1911468505859,2
1000000,10,5,16214.740657806396,1666.3113594055176,5
1000000,10,6,16254.709959030151,3085.213780403137,2
1000000,10,7,16233.65581035614,5217.563033103943,2
1000000,10,8,16196.643948554993,6588.356852531433,2
1000000,10,9,16725.544691085815,13810.852408409119,2
1000000,10,10,16645.998573303223,14116.734647750854,5
1000000,10,11,17034.990549087524,17558.163166046143,1
1000000,10,12,17186.56587600708,22713.581323623657,1
1000000,10,13,17225.878715515137,26369.690895080566,1
1000000,40,2,18098.08866182963,555.1704565684,3
1000000,40,3,21501.683990160625,225.8791128794352,6
1000000,40,4,21000.86772441864,993.5791492462158,2
1000000,40,5,20676.90052986145,2479.8590183258057,5
1000000,40,6,20743.59440803528,4478.949666023254,2
1000000,40,7,20754.924058914185,7371.899127960205,2
1000000,40,8,20701.770782470703,8824.00894165039,2
1000000,40,9,29609.7092628479,18799.251914024353,2
1000000,40,10,21386.897373199463,17901.85146331787,5
1000000,40,11,22048.48074913025,21015.855073928833,1
1000000,40,12,21507.131099700928,24643.568515777588,1
1000000,40,13,21629.044771194454,29632.765293121334,1
1000000,100,2,19534.13224220276,979.441245396932,3
1000000,100,3,22931.11741542816,418.539563814799,6
1000000,100,4,22196.754097938538,1629.292607307434,2
1000000,100,5,22193.527126312256,3615.4030323028564,5
1000000,100,6,22018.534660339355,6140.8421993255615,2
1000000,100,7,22089.609265327454,9633.766770362854,2
1000000,100,8,22239.26067352295,11348.276257514954,2
1000000,100,9,29413.373470306396,15583.650946617126,2
1000000,100,10,22942.331886291504,20971.10366821289,5
1000000,100,11,23729.318141937256,23784.162521362305,1
1000000,100,12,23866.56951904297,27501.14679336548,1
1000000,100,13,24008.052349090576,32374.45020675659,1
1500000,10,3,35906.628370285034,427.4756113688151,3
1500000,10,5,36102.353970209755,3244.2074616750083,3
1500000,10,10,37513.17485173544,33570.037841796875,3
1500000,40,3,45429.59682146708,511.0944112141927,3
1500000,40,5,45900.606552759804,4711.190064748128,3
1500000,40,10,52546.58587773641,43957.87668228149,3
1500000,100,3,49558.505137761436,720.6923961639404,3
1500000,100,5,49585.55380503336,6870.771646499634,3
1500000,100,10,59085.38977305094,50031.973918279014,3
2000000,10,3,64685.24273236593,785.2325439453125,3
2000000,10,5,64971.49848937988,5191.658814748128,3
2000000,10,10,73330.70667584737,60742.473681767784,3
2000000,40,3,81288.3107662201,917.8895155588785,3
2000000,40,5,103295.9303855896,10061.64280573527,3
2000000,40,10,105779.98995780943,65325.668692588806,2
2000000,100,3,88515.23478825887,1362.2479438781736,3
2000000,100,5,65661.74825032552,10863.40856552124,3
2000000,100,10,90398.0861902237,76478.85477542877,2
2500000,10,3,99782.31064478557,1242.0135339101155,3
2500000,10,5,99453.57871055603,7267.501990000407,3
2500000,10,10,104706.25388622284,78994.0949678421,2
2500000,40,3,82528.18592389424,1417.0225461324053,3
2500000,40,5,124977.47039794923,11010.467847188314,3
2500000,40,10,125821.60210609436,95782.79554843904,2
2500000,100,3,90054.99299367268,2099.2937088012695,3
2500000,100,5,135663.99916013083,15403.811852137247,3
2500000,100,10,66943.34137439728,110900.17807483672,2
3000000,10,3,143041.02897644043,1861.089547475179,3
3000000,10,5,142508.04543495178,9811.959346135458,3
3000000,10,10,146043.02632808685,111794.45791244508,2
3000000,40,3,178578.9045492808,2033.8403383890789,3
3000000,40,5,209233.16311836243,15339.10902341207,3
3000000,40,10,221976.99284553528,130263.41819763184,1
3000000,100,3,192559.67370669046,2784.4176292419434,3
3000000,100,5,194453.67658138275,21171.099185943604,2
3000000,100,10,192816.32041931152,149442.18015670776,1
3500000,10,3,201438.59926859537,3006.8438053131104,3
3500000,10,5,220867.1833674113,13783.24548403422,3
3500000,10,10,191813.9760494232,140766.18671417236,1
3500000,40,3,290396.47221565247,2805.4452737172446,3
3500000,40,5,310817.9093996684,24801.198720932007,3
3500000,40,10,243021.97980880737,217939.2101764679,1
3500000,100,3,323990.7691478729,3855.1281690597534,2
3500000,100,5,290707.32939243317,27243.732690811157,2
3500000,100,10,0.0,198759.4130039215,1
4000000,10,3,244150.74475606284,4521.242221196492,3
4000000,10,5,257730.56828975675,14966.25030040741,2
4000000,10,10,252608.25276374817,181205.8591842652,1
4000000,40,3,321095.6064860026,4700.541973114014,3
4000000,40,5,313237.8911972046,24910.006284713745,2
4000000,40,10,317660.61639785767,267182.4448108673,1
4000000,100,3,331298.75469207764,9344.04230117798,1
4000000,100,5,331529.74915504456,33051.883578300476,2
4000000,100,10,344898.25916290283,267201.69711112976,1
4500000,10,3,303919.26062107086,4443.740367889404,2
4500000,10,5,305664.77227211,18850.91781616211,1
4500000,10,10,322019.9136734009,268583.47511291504,1
4500000,40,3,445007.5192451477,4689.661026000977,1
4500000,40,5,0.0,32070.71018218994,1
4500000,40,10,402179.2817115784,279882.5821876526,1
4500000,100,3,0.0,6166.223526000977,1
4500000,100,5,0.0,41584.12575721741,1
4500000,100,10,432510.7576847077,362070.1727867127,1
5000000,10,2,287131.2837600708,14145.172953605652,2
5000000,10,3,373820.2137152354,4291.076580683391,3
5000000,10,4,380194.3573951721,7657.712697982788,1
5000000,10,5,191371.97542190552,22161.662697792053,2
5000000,10,6,380933.58397483826,48007.81202316284,1
5000000,10,7,382242.67292022705,95222.93329238892,1
5000000,10,8,379646.7435359955,178683.06922912598,1
5000000,10,9,395732.53202438354,202059.88836288452,1
5000000,10,10,0.0,271377.6762485504,1
5000000,40,2,427661.1998081207,15180.303573608398,2
5000000,40,3,292590.0302728017,4628.817240397136,3
5000000,40,4,492899.79338645935,10232.18321800232,1
5000000,40,5,258001.083612442,37392.63200759888,2
5000000,40,6,492209.6652984619,71637.97783851624,1
5000000,40,7,544416.985988617,131943.701505661,1
5000000,40,8,493376.11413002014,176102.6315689087,1
5000000,40,9,499235.4249954224,255719.89679336548,1
5000000,40,10,0.0,339027.2026062012,1
5000000,100,2,575343.7507152557,20979.839205741882,2
5000000,100,3,289485.2010011673,7318.021059036255,2
5000000,100,4,578797.9264259338,16367.86127090454,1
5000000,100,5,290218.2539701462,48745.98240852356,2
5000000,100,6,580398.3101844788,99525.0051021576,1
5000000,100,7,556464.272737503,164688.91644477844,1
5000000,100,8,526623.7785816193,218599.19381141663,1
5000000,100,9,558033.9477062225,304871.14667892456,1
5000000,100,10,0.0,385297.5692749024,1
5500000,10,3,0.0,6762.7387046813965,1
5500000,10,10,520127.6717185974,322111.6044521332,1
5500000,40,3,0.0,7358.091592788696,1
5500000,100,3,0.0,9287.501573562622,1
