size,k,dimension,ggnn_time,fgc_time,count
100000.0,40,3,285.51021489230067,169.22597451643514,22
100000.0,40,5,310.3901039470327,50.50921440124512,22
200000.0,40,3,555.3597753698176,8.24273716319691,22
200000.0,40,5,626.2585466558284,56.708877736871905,22
300000.0,40,3,853.2939390702682,11.42861626364968,22
300000.0,40,5,956.727699799971,72.43115251714534,22
400000.0,40,3,1150.6324247880416,13.918811624700375,22
400000.0,40,5,1290.9278219396415,92.5021388313987,22
500000.0,40,3,1456.44736289978,16.671267422762785,22
500000.0,40,5,1633.8769522580233,111.6619110107422,22
600000.0,40,3,1781.4485810019758,20.212758671153676,22
600000.0,40,5,1985.356851057573,133.06255774064496,22
700000.0,40,3,2088.9819968830457,20.941777662797406,22
700000.0,40,5,2347.0865162936125,156.78899938409978,22
800000.0,40,3,2389.6434957330875,23.689833554354585,22
800000.0,40,5,2706.536249680953,185.87272817438304,22
900000.0,40,3,2713.1516716697,25.3218954259699,22
900000.0,40,5,3079.892635345459,218.42052719809791,22
1000000.0,10,3,5154.613494873047,403.2895565032959,2
1000000.0,10,5,5850.082159042358,192.91996955871585,2
1000000.0,40,2,6399.744973463171,518.9322022830738,17
1000000.0,40,3,4359.71152460253,51.8774599642367,37
1000000.0,40,4,6558.957465489705,237.09317843119302,15
1000000.0,40,5,4891.441706064585,423.50876009142064,37
1000000.0,40,6,7449.33557510376,1633.2898616790771,15
1000000.0,40,7,7947.086222966512,3781.2222162882485,15
1000000.0,40,8,8397.300926844278,6428.82932027181,15
1000000.0,40,9,8955.58786392212,11661.163663864136,15
1000000.0,40,10,9477.373107274374,18647.777732213337,15
1000000.0,40,11,6248.776356379191,10307.15084075928,12
1000000.0,40,12,6618.913451830546,14217.503706614176,12
1000000.0,40,13,6993.560115496318,19229.748765627544,12
1000000.0,40,14,7368.821700414021,24484.18176174164,12
1000000.0,40,15,7750.474015871682,29571.256438891094,12
1000000.0,40,16,8025.224765141805,65114.664832750954,12
1000000.0,40,17,8526.97749932607,39547.60408401489,12
1000000.0,40,18,8891.66525999705,45017.31701691946,12
1000000.0,40,19,9310.032725334167,48408.93336137136,12
1500000.0,40,3,4713.854161175815,41.94164276123048,22
1500000.0,40,5,5416.920033368197,428.7911328402433,22
2000000.0,40,3,6535.788124257868,61.50960922241212,22
2000000.0,40,5,7559.516950087113,596.3248339566318,22
2500000.0,40,3,8314.370783892546,83.34664864973588,22
2500000.0,40,5,9727.92358831926,794.9696454134854,22
3000000.0,40,3,10513.88226855885,111.56446283513851,22
3000000.0,40,5,11749.276399612429,978.3404523676089,22
3500000.0,40,3,11896.487972953102,132.17553225430575,22
3500000.0,40,5,13309.469634836372,1251.351421529596,22
4000000.0,40,3,13738.517392765389,162.22936456853694,22
4000000.0,40,5,15351.198283108795,1567.6805106076326,22
4500000.0,40,3,15640.024098483,192.02592156150124,22
4500000.0,40,5,17371.173988689075,1929.5535304329612,22
5000000.0,40,3,17720.847173170612,236.78591034629127,22
5000000.0,40,5,20367.22553860057,2424.69031160528,22
5500000.0,40,3,20442.80089031566,272.04652266068894,22
5500000.0,40,5,22509.06705856323,2887.044256383723,22
6000000.0,40,3,22189.822457053444,310.9581470489502,22
6000000.0,40,5,24659.429095008156,3383.3317756652837,22
6500000.0,40,3,24214.943452314907,354.63684255426574,22
6500000.0,40,5,26907.46628154408,3920.996926047585,22
7000000.0,40,3,26321.377060630115,399.8359983617609,22
7000000.0,40,5,29078.78962430087,4479.416500438343,22
7500000.0,40,3,28507.890506224197,445.76811790466303,22
7500000.0,40,5,31276.051846417515,5063.564083792947,22
8000000.0,40,3,30761.240157214077,494.6190443905916,22
8000000.0,40,5,33474.48695789684,5653.406099839644,22
8500000.0,40,3,32364.15284330194,546.6153838417747,22
8500000.0,40,5,35781.89232132653,6214.499148455533,22
9000000.0,40,3,34720.1471978968,795.1516888358376,22
9000000.0,40,5,37993.45967986368,6751.804265108975,22
9500000.0,40,3,36652.2049036893,654.8154570839622,22
9500000.0,40,5,40276.06758204373,7267.993190071798,22
10000000.0,40,3,38581.0332515023,711.6445194591175,22
10000000.0,40,5,42460.76481992548,7748.990579084916,22
