size,k,dimension,annoy_time,fgc_time,count
1000.0,10,3,50.54926872253418,293.0996417999268,2
1000.0,10,5,36.87548637390137,6.501197814941406,2
1000.0,40,3,77.76284217834473,10.163068771362305,2
1000.0,40,5,70.44863700866699,11.517047882080078,2
1000.0,100,3,137.59231567382812,10.513067245483398,2
1000.0,100,5,128.4489631652832,13.581275939941406,2
2000.0,10,3,68.08710098266602,5.905866622924805,2
2000.0,10,5,62.65068054199219,17.525196075439453,2
2000.0,40,3,140.2111053466797,4.399299621582031,2
2000.0,40,5,124.84264373779295,15.243053436279297,2
2000.0,100,3,278.71060371398926,17.606735229492188,2
2000.0,100,5,256.3149929046631,40.71617126464844,2
3000.0,10,3,97.49507904052734,28.72467041015625,2
3000.0,10,5,85.24346351623535,18.833160400390625,2
3000.0,40,3,196.24567031860352,31.797409057617188,2
3000.0,40,5,191.85519218444824,8.09335708618164,2
3000.0,100,3,411.473274230957,9.673833847045898,2
3000.0,100,5,393.25809478759766,26.23534202575684,2
4000.0,10,3,121.29998207092284,11.65175437927246,2
4000.0,10,5,101.7930507659912,24.05858039855957,2
4000.0,40,3,349.15995597839355,14.10198211669922,2
4000.0,40,5,246.9754219055176,32.68098831176758,2
4000.0,100,3,561.2349510192871,32.088518142700195,2
4000.0,100,5,526.9863605499268,28.42426300048828,2
5000.0,10,3,141.8769359588623,32.302141189575195,2
5000.0,10,5,126.81221961975098,30.252456665039062,2
5000.0,40,3,324.5844841003418,16.666173934936523,2
5000.0,40,5,312.6218318939209,10.317325592041016,2
5000.0,100,3,694.2739486694336,13.731956481933594,2
5000.0,100,5,664.6707057952881,31.067848205566406,2
6000.0,10,3,225.26264190673828,20.64180374145508,2
6000.0,10,5,149.4147777557373,37.92572021484375,2
6000.0,40,3,393.7404155731201,15.69223403930664,2
6000.0,40,5,376.5707015991211,26.622533798217773,2
6000.0,100,3,830.8780193328857,11.943340301513672,2
6000.0,100,5,809.0317249298096,36.3926887512207,2
7000.0,10,3,198.4589099884033,19.01507377624512,2
7000.0,10,5,175.50039291381836,24.92308616638184,2
7000.0,40,3,532.3996543884277,7.023334503173828,2
7000.0,40,5,443.30668449401855,26.58820152282715,2
7000.0,100,3,975.1946926116944,10.19740104675293,2
7000.0,100,5,951.6959190368652,30.97724914550781,2
8000.0,10,3,216.2315845489502,16.36338233947754,2
8000.0,10,5,201.0314464569092,33.25700759887695,2
8000.0,40,3,525.6590843200684,18.288373947143555,2
8000.0,40,5,509.6206665039063,14.921903610229492,2
8000.0,100,3,1180.2759170532229,23.956298828125,2
8000.0,100,5,1101.5417575836182,30.373334884643555,2
9000.0,10,3,250.17905235290527,10.608911514282228,2
9000.0,10,5,231.83321952819824,33.07533264160156,2
9000.0,40,3,591.0711288452148,14.963865280151367,2
9000.0,40,5,586.076021194458,32.4101448059082,2
9000.0,100,3,1315.7081604003906,24.31845664978028,2
9000.0,100,5,1248.607158660889,43.5791015625,2
10000.0,10,3,278.5367965698242,14.961481094360352,2
10000.0,10,5,248.4660148620605,20.01619338989257,2
10000.0,40,3,720.4029560089111,25.349140167236328,2
10000.0,40,5,645.327091217041,31.79574012756348,2
10000.0,100,3,1406.5897464752195,10.91933250427246,2
10000.0,100,5,1382.7941417694092,23.088455200195312,2
20000.0,10,3,605.5431365966797,11.818408966064451,2
20000.0,10,5,533.9651107788086,73.01664352416992,2
20000.0,40,3,1354.4092178344729,14.07480239868164,2
20000.0,40,5,1432.075262069702,42.33694076538086,2
20000.0,100,3,2929.1794300079346,13.76199722290039,2
20000.0,100,5,2907.315492630005,39.93082046508789,2
30000.0,10,3,912.0967388153076,23.44322204589844,2
30000.0,10,5,839.5411968231201,25.69866180419922,2
30000.0,40,3,2113.89684677124,13.12708854675293,2
30000.0,40,5,2097.7463722229004,45.54247856140137,2
30000.0,100,3,4432.4631690979,19.23847198486328,2
30000.0,100,5,4542.995452880859,93.16277503967284,2
40000.0,10,3,1229.4292449951172,12.8021240234375,2
40000.0,10,5,1131.0079097747805,56.09631538391113,2
40000.0,40,3,2874.073982238769,19.40202713012696,2
40000.0,40,5,2847.455739974976,49.05080795288086,2
40000.0,100,3,5985.896587371826,29.611587524414062,2
40000.0,100,5,6125.200033187866,70.31893730163574,2
50000.0,10,3,1540.332317352295,18.77403259277344,2
50000.0,10,5,1421.5798377990725,40.75336456298828,2
50000.0,40,3,3690.554618835449,20.978689193725582,2
50000.0,40,5,3601.8784046173096,70.52803039550781,2
50000.0,100,3,7494.104385375977,30.08508682250977,2
50000.0,100,5,7630.466461181641,67.0783519744873,2
60000.0,10,3,1935.5084896087649,17.664432525634766,2
60000.0,10,5,1793.8053607940674,39.8554801940918,2
60000.0,40,3,4361.109733581543,28.82218360900879,2
60000.0,40,5,4411.341667175293,59.17668342590332,2
