size,k,faiss_time,fgc_time,count,dimension
3000,100,7.097482681274414,16.33310317993164,2,3
3000,10,1.5292167663574219,19.602179527282715,2,5
3000,40,1.9905567169189455,16.18349552154541,2,5
3000,100,5.100369453430176,29.950857162475586,2,5
4000,10,1.6922950744628906,8.747696876525879,2,3
4000,40,3.4351348876953125,11.829257011413574,2,3
4000,100,5.9108734130859375,12.888669967651367,2,3
4000,10,4.066228866577148,25.21336078643799,2,5
4000,40,4.895567893981934,22.00329303741455,2,5
4000,100,7.090091705322266,20.233750343322754,2,5
5000,10,1.7087459564208984,36.515235900878906,2,3
5000,40,5.297183990478516,10.457277297973633,2,3
5000,100,7.423877716064453,19.394636154174805,2,3
5000,10,1.6722679138183594,31.923294067382812,2,5
5000,40,7.400870323181152,18.349051475524902,2,5
5000,100,10.941386222839355,29.977083206176758,2,5
6000,10,1.595616340637207,20.865678787231445,2,3
6000,40,3.7266016006469727,15.103936195373535,2,3
6000,100,12.812972068786621,12.395977973937988,2,3
6000,10,2.58028507232666,33.14638137817383,2,5
6000,40,4.978179931640625,21.361351013183594,2,5
6000,100,9.640812873840332,43.31254959106445,2,5
7000,10,4.717588424682617,24.97231960296631,2,3
7000,40,7.080674171447754,20.74265480041504,2,3
7000,100,11.778593063354492,19.964218139648438,2,3
7000,10,2.9134750366210938,25.336742401123047,2,5
7000,40,7.33339786529541,34.24549102783203,2,5
7000,100,12.003302574157715,38.8568639755249,2,5
8000,10,6.979703903198242,15.313386917114258,2,3
8000,40,8.69607925415039,19.024252891540527,2,3
8000,100,12.232661247253418,20.798921585083008,2,3
8000,10,6.8999528884887695,16.109347343444824,2,5
8000,40,6.920337677001953,23.868083953857422,2,5
8000,100,11.729121208190918,38.81406784057617,2,5
9000,10,4.691600799560547,12.331008911132812,2,3
9000,40,7.041811943054199,17.36152172088623,2,3
9000,100,15.938162803649902,17.10689067840576,2,3
9000,10,2.10726261138916,34.1486930847168,2,5
9000,40,7.283449172973633,29.39319610595703,2,5
9000,100,15.127301216125488,23.28050136566162,2,5
10000,10,6.342053413391113,25.144457817077637,2,3
10000,40,8.144497871398926,10.968446731567383,2,3
10000,100,17.56918430328369,19.93739604949951,2,3
10000,10,5.157947540283203,36.86058521270752,2,5
10000,40,6.200075149536133,30.94017505645752,2,5
10000,100,14.076828956604004,37.372708320617676,2,5
20000,10,8.156895637512207,25.846123695373535,2,3
20000,40,16.19899272918701,17.20452308654785,2,3
20000,100,44.81709003448486,16.979336738586426,2,3
20000,10,13.205409049987793,40.534019470214844,2,5
20000,40,17.82524585723877,40.90595245361328,2,5
20000,100,29.439449310302734,46.366214752197266,2,5
30000,10,11.372089385986328,23.687005043029785,2,3
30000,40,32.48751163482666,16.078591346740723,2,3
30000,100,51.65457725524902,26.79288387298584,2,3
30000,10,21.90852165222168,28.363585472106934,2,5
30000,40,32.02331066131592,36.69548034667969,2,5
30000,100,50.81760883331299,53.89404296875,2,5
40000,10,38.109540939331055,23.428678512573242,2,3
40000,40,54.24237251281738,16.057968139648438,2,3
40000,100,81.62093162536621,34.62851047515869,2,3
40000,10,33.37299823760986,46.35977745056152,2,5
40000,40,53.554415702819824,45.012474060058594,2,5
40000,100,72.74675369262695,62.97469139099121,2,5
50000,10,52.199602127075195,14.079928398132324,2,3
50000,40,73.219895362854,15.505552291870117,2,3
50000,100,99.6478796005249,25.638699531555176,2,3
50000,10,48.88617992401123,52.16193199157715,2,5
50000,40,78.29856872558594,65.70613384246826,2,5
50000,100,107.45489597320557,94.3378210067749,2,5
60000,10,67.51561164855957,13.77713680267334,2,3
60000,40,98.86324405670166,25.06566047668457,2,3
60000,100,136.17491722106934,41.535377502441406,2,3
60000,10,69.05972957611084,63.912034034729004,2,5
60000,40,93.57500076293945,81.92181587219238,2,5
60000,100,136.75570487976074,98.59132766723633,2,5
70000,10,96.32933139801025,19.965648651123047,2,3
70000,40,108.06739330291748,25.8561372756958,2,3
70000,100,176.52618885040283,34.012675285339355,2,3
70000,10,85.96134185791016,48.99585247039795,2,5
70000,40,134.28103923797607,91.49396419525146,2,5
70000,100,174.38864707946777,138.9979124069214,2,5
80000,10,126.90556049346924,16.24894142150879,2,3
80000,40,160.58337688446045,28.331279754638672,2,3
80000,100,213.2657766342163,39.25681114196777,2,3
80000,10,119.12775039672852,64.2932653427124,2,5
80000,40,148.3992338180542,86.26353740692139,2,5
80000,100,212.36681938171387,174.8642921447754,2,5
90000,10,170.4087257385254,20.57468891143799,2,3
90000,40,192.79778003692627,26.027798652648926,2,3
90000,100,259.39786434173584,40.23277759552002,2,3
90000,10,162.89746761322021,64.75424766540527,2,5
90000,40,184.38994884490967,121.94061279296875,2,5
90000,100,255.4178237915039,161.9044542312622,2,5
100000,10,176.62310600280762,15.114545822143556,2,3
100000,40,213.14358711242676,26.58975124359131,2,3
100000,100,279.3257236480713,39.22545909881592,2,3
100000,10,161.02778911590576,70.13440132141113,2,5
100000,40,236.35530471801758,115.4259443283081,2,5
100000,100,282.7664613723755,160.49206256866455,2,5
150000,10,390.0785446166992,15.880465507507324,2,3
150000,40,507.56072998046875,35.24959087371826,2,3
150000,100,672.1112728118896,50.09162425994873,2,3
150000,10,403.90515327453613,132.06744194030762,2,5
150000,40,529.2038917541504,179.14140224456787,2,5
150000,100,677.5209903717041,278.1292200088501,2,5
200000,10,649.6268510818481,22.7278470993042,2,3
200000,40,844.5862531661987,35.84003448486328,2,3
200000,100,1075.3511190414429,80.36184310913086,2,3
200000,10,601.355791091919,149.0246057510376,2,5
200000,40,890.1276588439941,198.6091136932373,2,5
200000,100,1061.1095428466797,350.93605518341064,2,5
250000,10,1060.5289936065674,28.578758239746094,2,3
250000,40,1314.8220777511597,24.837017059326172,2,3
250000,100,1571.0166692733765,87.86606788635254,2,3
250000,10,1090.5739068984985,254.3661594390869,2,5
250000,40,1333.634376525879,342.220664024353,2,5
250000,100,1575.595498085022,463.96708488464355,2,5
300000,10,1440.1863813400269,30.494332313537598,2,3
300000,40,1866.5077686309814,42.69850254058838,2,3
300000,100,2225.6970405578613,78.41777801513672,2,3
300000,10,1451.651692390442,288.5094881057739,2,5
300000,40,1932.9214096069336,414.0291213989258,2,5
300000,100,2234.000563621521,624.3971586227417,2,5
350000,10,2029.195427894592,38.29681873321533,2,3
350000,40,2553.218126296997,52.17623710632324,2,3
350000,100,2938.833236694336,109.69376564025879,2,3
350000,10,2211.1904621124268,409.04688835144043,2,5
350000,40,2577.0413875579834,504.7268867492676,2,5
350000,100,3147.935628890991,711.4260196685791,2,5
400000,10,2529.2344093322754,47.96862602233887,2,3
400000,40,3637.831687927246,67.95072555541992,2,3
400000,100,3799.11470413208,130.56910037994385,2,3
400000,10,2626.279354095459,373.2469081878662,2,5
400000,40,3343.311548233032,560.7658624649048,2,5
400000,100,3735.912561416626,874.3622303009033,2,5
450000,10,3257.544994354248,59.59117412567139,2,3
450000,40,4248.589038848877,73.54867458343506,2,3
450000,100,4669.213891029358,121.67668342590332,2,3
450000,10,3234.404683113098,424.8006343841553,2,5
450000,40,4276.975870132446,686.0769987106323,2,5
450000,100,4622.748374938965,1023.3423709869385,2,5
500000,10,3995.687246322632,43.49660873413086,2,3
500000,40,5135.652303695679,74.31888580322266,2,3
500000,100,5662.250638008118,184.59033966064453,2,3
500000,10,4026.950240135193,530.5373668670654,2,5
500000,40,5177.084565162659,744.9504137039185,2,5
500000,100,5651.562213897705,1213.1543159484863,2,5
600000,10,5867.40517616272,88.4331464767456,2,3
600000,40,7358.116149902344,87.92376518249512,2,3
600000,100,8048.324108123779,179.2590618133545,2,3
600000,10,5772.148489952087,707.4161767959595,2,5
600000,40,7328.330039978027,1021.251916885376,2,5
600000,100,8038.363456726074,1680.6303262710571,2,5
700000,10,7810.887455940247,102.02407836914062,2,3
700000,40,9936.831593513489,157.38224983215332,2,3
700000,100,10809.05306339264,222.73409366607666,2,3
700000,10,7781.2312841415405,950.0885009765625,2,5
700000,40,9984.55810546875,1315.8824443817139,2,5
700000,100,10876.774311065674,2029.2174816131592,2,5
800000,10,10118.019461631775,122.48373031616211,2,3
800000,40,13081.902503967285,167.60969161987305,2,3
800000,100,14387.796878814697,301.48375034332275,2,3
800000,10,10168.088436126707,1155.9566259384155,2,5
800000,40,13291.385412216188,1681.180715560913,2,5
800000,100,14135.99443435669,2513.7243270874023,2,5
900000,10,12897.587299346924,173.87545108795166,2,3
900000,40,16296.047449111938,234.76576805114746,2,3
900000,100,17392.340660095215,346.1679220199585,2,3
900000,10,12893.225193023682,1386.846423149109,2,5
900000,40,16293.008089065552,1929.1921854019165,2,5
900000,100,17398.895621299744,2978.4847497940063,2,5
1000000,10,15667.659401893616,215.051531791687,2,3
1000000,40,20070.728182792664,267.06838607788086,2,3
1000000,100,21805.59003353119,413.59734535217285,2,3
1000000,10,15693.81332397461,1609.4633340835571,2,5
1000000,40,20044.60597038269,2306.146502494812,2,5
1000000,100,21720.821857452393,3536.8257761001587,2,5
1500000,10,35027.297139167786,455.7812213897705,2,3
1500000,40,44449.602365493774,532.0143699645996,2,3
1500000,100,48046.40197753906,701.1805772781372,2,3
1500000,10,35516.98422431946,3160.3682041168213,2,5
1500000,40,44755.15818595886,4588.240265846252,2,5
1500000,100,48504.26530838013,6744.605898857117,2,5
2000000,10,63502.37190723419,823.6931562423706,2,3
2000000,40,79930.65845966339,947.5183486938477,2,3
2000000,100,86971.55940532684,1379.6800374984741,2,3
2000000,10,63710.76834201813,5206.4255475997925,2,5
2000000,40,113608.37244987488,11280.79903125763,2,5
2000000,100,54243.77202987671,10873.08669090271,2,5
2500000,10,99464.72156047821,1344.8091745376587,2,3
2500000,40,60464.81108665466,1461.8653059005737,2,3
2500000,100,66244.89378929138,2158.453941345215,2,3
2500000,10,97639.05608654022,7260.954737663269,2,5
2500000,40,121983.93654823305,10818.385124206543,2,5
2500000,100,131783.29181671143,15087.763667106628,2,5
3000000,10,139948.76527786255,1978.093862533569,2,3
3000000,40,174851.32932662964,2092.6886796951294,2,3
3000000,100,187979.4363975525,2812.010407447815,2,3
3000000,10,139751.5331506729,9679.425477981567,2,5
3000000,40,220471.2998867035,15276.442050933838,2,5
3000000,100,187023.10347557068,20468.16658973694,1,5
3500000,10,193768.53048801422,2674.272894859314,2,3
3500000,40,252084.83743667605,2935.049533843994,2,3
3500000,100,261214.87545967105,3793.2770252227774,1,3
3500000,10,191448.0845928192,12111.690163612366,2,5
3500000,40,286830.3232192993,23067.01111793518,2,5
3500000,100,254974.0273952484,26354.331254959103,1,5
4000000,10,238516.29638671875,5072.432994842529,2,3
4000000,40,312763.4000778198,5438.06529045105,2,3
4000000,100,331298.75469207764,9344.04230117798,1,3
4000000,10,257730.56828975677,14966.25030040741,2,5
4000000,40,313237.8911972046,24910.006284713745,2,5
4000000,100,331529.74915504456,33051.883578300476,2,5
4500000,10,303919.26062107086,4443.740367889404,2,3
4500000,40,445007.5192451477,4689.661026000977,1,3
4500000,100,0.0,6166.223526000977,1,3
4500000,10,305664.77227211,18850.91781616211,1,5
4500000,40,0.0,32070.71018218994,1,5
4500000,100,0.0,41584.12575721741,1,5
5000000,10,388513.39292526245,5340.691566467285,1,3
5000000,40,0.0,5760.38122177124,1,3
5000000,100,0.0,7470.128774642944,1,3
5000000,10,0.0,21552.828550338745,1,5
5000000,40,0.0,37050.95362663269,1,5
5000000,100,0.0,48727.00476646423,1,5
5500000,10,0.0,6762.7387046813965,1,3
5500000,40,0.0,7358.091592788696,1,3
5500000,100,0.0,9287.501573562622,1,3
