size,k,annoy_time,fgc_time,count,dimension
1000,10,50.54926872253418,293.0996417999268,1,3
1000,40,77.76284217834473,10.163068771362305,1,3
1000,100,137.59231567382812,10.513067245483398,1,3
1000,10,36.87548637390137,6.501197814941406,1,5
1000,40,70.44863700866699,11.517047882080078,1,5
1000,100,128.4489631652832,13.581275939941406,1,5
2000,10,68.08710098266602,5.905866622924805,1,3
2000,40,140.2111053466797,4.399299621582031,1,3
2000,100,278.71060371398926,17.606735229492188,1,3
2000,10,62.65068054199219,17.525196075439453,1,5
2000,40,124.84264373779295,15.243053436279297,1,5
2000,100,256.3149929046631,40.71617126464844,1,5
3000,10,97.49507904052734,28.72467041015625,1,3
3000,40,196.24567031860352,31.797409057617188,1,3
3000,100,411.473274230957,9.673833847045898,1,3
3000,10,85.24346351623535,18.833160400390625,1,5
3000,40,191.85519218444824,8.09335708618164,1,5
3000,100,393.25809478759766,26.23534202575684,1,5
4000,10,121.29998207092284,11.65175437927246,1,3
4000,40,349.15995597839355,14.10198211669922,1,3
4000,100,561.2349510192871,32.088518142700195,1,3
4000,10,101.7930507659912,24.05858039855957,1,5
4000,40,246.9754219055176,32.68098831176758,1,5
4000,100,526.9863605499268,28.42426300048828,1,5
5000,10,141.8769359588623,32.302141189575195,1,3
5000,40,324.5844841003418,16.666173934936523,1,3
5000,100,694.2739486694336,13.731956481933594,1,3
5000,10,126.81221961975098,30.252456665039062,1,5
5000,40,312.6218318939209,10.317325592041016,1,5
5000,100,664.6707057952881,31.067848205566406,1,5
6000,10,225.26264190673828,20.64180374145508,1,3
6000,40,393.7404155731201,15.69223403930664,1,3
6000,100,830.8780193328857,11.943340301513672,1,3
6000,10,149.4147777557373,37.92572021484375,1,5
6000,40,376.5707015991211,26.622533798217773,1,5
6000,100,809.0317249298096,36.3926887512207,1,5
7000,10,198.4589099884033,19.01507377624512,1,3
7000,40,532.3996543884277,7.023334503173828,1,3
7000,100,975.1946926116944,10.19740104675293,1,3
7000,10,175.50039291381836,24.92308616638184,1,5
7000,40,443.30668449401855,26.58820152282715,1,5
7000,100,951.6959190368652,30.97724914550781,1,5
8000,10,216.2315845489502,16.36338233947754,1,3
8000,40,525.6590843200684,18.288373947143555,1,3
8000,100,1180.2759170532229,23.956298828125,1,3
8000,10,201.0314464569092,33.25700759887695,1,5
8000,40,509.6206665039063,14.921903610229492,1,5
8000,100,1101.5417575836182,30.373334884643555,1,5
9000,10,250.17905235290527,10.608911514282228,1,3
9000,40,591.0711288452148,14.963865280151367,1,3
9000,100,1315.7081604003906,24.31845664978028,1,3
9000,10,231.83321952819824,33.07533264160156,1,5
9000,40,586.076021194458,32.4101448059082,1,5
9000,100,1248.607158660889,43.5791015625,1,5
10000,10,278.5367965698242,14.961481094360352,1,3
10000,40,720.4029560089111,25.349140167236328,1,3
10000,100,1406.5897464752195,10.91933250427246,1,3
10000,10,248.4660148620605,20.01619338989257,1,5
10000,40,645.327091217041,31.79574012756348,1,5
10000,100,1382.7941417694092,23.088455200195312,1,5
20000,10,605.5431365966797,11.818408966064451,1,3
20000,40,1354.4092178344729,14.07480239868164,1,3
20000,100,2929.1794300079346,13.76199722290039,1,3
20000,10,533.9651107788086,73.01664352416992,1,5
20000,40,1432.075262069702,42.33694076538086,1,5
20000,100,2907.315492630005,39.93082046508789,1,5
30000,10,912.0967388153076,23.44322204589844,1,3
30000,40,2113.89684677124,13.12708854675293,1,3
30000,100,4432.4631690979,19.23847198486328,1,3
30000,10,839.5411968231201,25.69866180419922,1,5
30000,40,2097.7463722229004,45.54247856140137,1,5
30000,100,4542.995452880859,93.16277503967284,1,5
40000,10,1229.4292449951172,12.8021240234375,1,3
40000,40,2874.073982238769,19.40202713012696,1,3
40000,100,5985.896587371826,29.611587524414062,1,3
40000,10,1131.0079097747805,56.09631538391113,1,5
40000,40,2847.455739974976,49.05080795288086,1,5
40000,100,6125.200033187866,70.31893730163574,1,5
50000,10,1540.332317352295,18.77403259277344,1,3
50000,40,3690.554618835449,20.978689193725582,1,3
50000,100,7494.104385375977,30.08508682250977,1,3
50000,10,1421.5798377990725,40.75336456298828,1,5
50000,40,3601.8784046173096,70.52803039550781,1,5
50000,100,7630.466461181641,67.0783519744873,1,5
60000,10,1935.5084896087649,17.664432525634766,1,3
60000,40,4361.109733581543,28.82218360900879,1,3
60000,100,9061.012029647827,34.6531867980957,1,3
60000,10,1793.8053607940674,39.8554801940918,1,5
60000,40,4411.341667175293,59.17668342590332,1,5
60000,100,9306.29849433899,96.19021415710448,1,5
70000,10,2260.2627277374268,21.29602432250977,1,3
70000,40,5135.450839996338,17.655372619628906,1,3
70000,100,10976.50694847107,40.849924087524414,1,3
70000,10,2033.5264205932613,47.502756118774414,1,5
70000,40,5259.979248046875,68.98140907287598,1,5
70000,100,11119.585514068604,116.45150184631348,1,5
80000,10,2721.421957015991,15.540361404418944,1,3
80000,40,6059.835910797119,18.379688262939453,1,3
80000,100,12421.91195487976,37.75501251220703,1,3
80000,10,2399.2457389831543,59.14115905761719,1,5
80000,40,6116.281032562256,78.41253280639648,1,5
80000,100,12701.987743377686,141.29209518432617,1,5
90000,10,2978.4958362579346,14.186620712280272,1,3
90000,40,6796.495199203491,23.595571517944336,1,3
90000,100,14282.042980194092,26.648759841918945,1,3
90000,10,2732.550382614136,42.04726219177246,1,5
90000,40,6917.003393173218,89.03336524963379,1,5
90000,100,14533.435106277466,137.5887393951416,1,5
100000,10,3519.231915473938,150.79963207244873,2,3
100000,40,7680.535316467285,35.76254844665527,2,3
100000,100,15962.833881378174,36.30411624908447,2,3
100000,10,3092.2319889068604,67.61407852172852,2,5
100000,40,7789.801120758057,99.07293319702148,2,5
100000,100,16640.11836051941,188.9592409133911,2,5
150000,10,5249.716520309448,20.04694938659668,2,3
150000,40,12246.549129486084,35.62307357788086,2,3
150000,100,25884.20283794403,67.10779666900635,2,3
150000,10,4879.226803779602,126.82080268859865,2,5
150000,40,12603.06441783905,167.48201847076416,2,5
