dimension,k,annoy_time,fgc_time,count,size
2,10,4134.641170501709,295.5043315887451,1,100000
2,40,7459.898233413696,15.049219131469727,1,100000
2,100,15392.37117767334,43.93362998962402,1,100000
2,10,45340.77310562134,466.69960021972656,1,1000000
2,40,102968.270778656,642.2679424285889,1,1000000
