dimension,k,hnswlib_time,fgc_time,count,size
2,10,18047.14245796204,4358.338356018066,5,100000.0
2,40,13303.338834217617,3223.100525992257,7,100000.0
2,100,19181.46157264709,5842.267370223999,5,100000.0
2,10,6745.195508003235,304.4368028640747,2,1000000.0
2,40,5564.810180664063,804.0249347686768,5,1000000.0
2,100,5629.403114318848,1082.1421146392822,2,1000000.0
2,10,32388.616800308228,14215.174198150637,1,5000000.0
2,40,29643.58675479889,16046.908617019652,2,5000000.0
2,100,31246.30188941956,19905.691623687744,1,5000000.0
3,10,20612.19067573548,1350.1182079315186,5,100000.0
3,40,14833.54241507394,1085.7905319758825,7,100000.0
3,100,20341.82381629944,2068.930196762085,5,100000.0
3,10,6193.143010139465,123.85332584381104,2,1000000.0
3,40,6285.90315580368,224.9659299850464,4,1000000.0
3,100,6215.077877044678,377.8002262115479,2,1000000.0
3,10,34351.126194000244,5052.417993545532,1,5000000.0
3,40,33130.555868148804,3699.207663536072,2,5000000.0
3,100,35324.19419288635,5138.530731201172,1,5000000.0
4,10,22722.575855255127,2729.511070251465,5,100000.0
4,40,16022.399459566388,3281.5732955932617,7,100000.0
4,100,22876.38688087464,7329.9468994140625,5,100000.0
4,10,6688.511967658997,721.8906879425049,2,1000000.0
4,40,6841.3267731666565,1258.2222819328308,4,1000000.0
4,100,6874.578714370728,1786.6612672805786,2,1000000.0
4,40,38192.89040565491,12772.18246459961,1,5000000.0
5,40,29655.87525897556,15923.588116963705,9,100000.0
5,40,7615.878025690715,2581.665277481079,3,1000000.0
5,40,42105.15904426575,44687.07656860352,1,5000000.0
6,40,33864.39469125536,31398.025883568658,9,100000.0
6,40,8213.464816411337,4872.4269072214765,3,1000000.0
6,40,47160.353660583496,84990.71645736694,1,5000000.0
7,40,40233.15585984124,53920.166465971204,9,100000.0
7,40,8906.842231750488,7775.783300399781,3,1000000.0
7,40,55655.620098114014,121410.39037704468,1,5000000.0
8,40,49468.22283003065,67186.8773566352,9,100000.0
8,40,9529.060443242392,7991.61728223165,3,1000000.0
8,40,66821.04897499084,140861.73391342163,1,5000000.0
9,40,46286.47337641035,79043.2938848223,7,100000.0
9,40,11224.910616874697,11204.8362493515,2,1000000.0
9,40,77255.27548789978,198625.9069442749,1,5000000.0
10,40,58167.4470504125,113861.65150006612,6,100000.0
10,40,12412.44649887085,14552.13701725006,2,1000000.0
10,40,80085.74676513672,246848.2356071472,1,5000000.0
11,40,696.4913606643677,520.5769538879395,2,100000.0
11,40,12946.576714515686,18589.96844291687,2,1000000.0
12,40,693.3615207672119,831.6953182220459,1,100000.0
12,40,14239.478588104248,24435.409784317017,1,1000000.0
13,40,692.8260326385498,962.305784225464,1,100000.0
13,40,15879.11319732666,29100.30055046081,1,1000000.0
14,40,720.2262878417969,1143.1686878204346,1,100000.0
14,40,15419.602155685425,33460.002183914185,1,1000000.0
15,40,650.4850387573242,1235.9142303466797,1,100000.0
15,40,16292.423248291016,37431.01358413696,1,1000000.0
16,40,661.0794067382812,1972.315788269043,1,100000.0
16,40,17414.93320465088,99912.99176216124,1,1000000.0
17,40,683.8185787200928,1855.6172847747805,1,100000.0
17,40,17864.49360847473,46334.1703414917,1,1000000.0
18,40,685.1279735565186,2037.5587940216064,1,100000.0
18,40,18463.993787765503,51951.972007751465,1,1000000.0
19,40,673.4497547149658,1838.421106338501,1,100000.0
19,40,19231.193780899048,56949.67246055603,1,1000000.0
20,40,700.8171081542969,2082.847595214844,1,100000.0
20,40,24759.20248031616,61346.52996063232,1,1000000.0
21,40,706.7098617553711,2604.202508926392,1,100000.0
21,40,20122.737884521484,69158.70022773743,1,1000000.0
22,40,673.8555431365967,3364.980936050415,1,100000.0
22,40,19844.08164024353,74894.12927627563,1,1000000.0
23,40,716.2981033325195,3222.546100616455,1,100000.0
23,40,20560.94026565552,78993.14045906067,1,1000000.0
24,40,665.3859615325928,3265.6939029693604,1,100000.0
24,40,32078.826904296875,101281.72063827516,1,1000000.0
25,40,747.3351955413818,3819.714784622192,1,100000.0
25,40,20155.117988586426,92334.1772556305,1,1000000.0
26,40,711.2655639648438,4384.899139404297,1,100000.0
26,40,21440.46711921692,97506.334066391,1,1000000.0
27,40,710.1500034332275,4408.600330352783,1,100000.0
27,40,24469.49315071106,102427.51407623292,1,1000000.0
28,40,691.6351318359375,4396.295547485352,1,100000.0
28,40,30129.43911552429,104834.87057685852,1,1000000.0
29,40,725.5232334136963,4405.666828155518,1,100000.0
29,40,26122.3738193512,115804.82959747314,1,1000000.0
30,40,730.2753925323486,4980.591535568237,1,100000.0
5,10,36471.86912809099,12643.119198935372,7,100000.0
5,100,41419.57712173462,28668.344293321883,7,100000.0
5,10,7496.607542037964,1056.8962097167969,1,1000000.0
5,100,8038.381576538086,2298.6490726470947,1,1000000.0
6,10,44144.10305023193,27906.661919185095,7,100000.0
6,100,49822.84079279219,53635.74590001787,7,100000.0
6,10,8090.384244918823,1929.51774597168,1,1000000.0
6,100,9029.8752784729,3774.025201797485,1,1000000.0
7,10,52170.79448699951,50654.87483569554,7,100000.0
7,100,61328.38099343436,84143.67566789899,7,100000.0
7,10,8742.737293243408,3145.2910900115967,1,1000000.0
7,100,10031.07500076294,5555.7701587677,1,1000000.0
8,10,61749.54669816154,66496.25158309937,7,100000.0
8,100,75862.20012392316,102085.90977532523,7,100000.0
8,10,9642.63081550598,3723.943948745728,1,1000000.0
8,100,11707.40008354187,6138.181209564209,1,1000000.0
9,10,67381.12788200378,91551.70063972473,5,100000.0
9,100,80662.94794082642,125928.11274528503,5,100000.0
9,10,10501.780986785889,5447.868347167969,1,1000000.0
10,10,88651.32486820221,145255.9918165207,4,
10,100,106713.10317516327,188786.15760803228,4,
