dimension,k,hnswlib_time,fgc_time,count,size
2,10,601.8089056015015,301.57577991485596,2,100000
2,40,589.5321369171143,22.153496742248535,2,100000
2,100,572.3912715911865,44.473886489868164,2,100000
2,10,5750.46706199646,356.84943199157715,2,1000000
2,40,5666.042327880859,485.35943031311035,2,1000000
2,100,5642.354249954224,1143.6684131622314,2,1000000
2,10,30853.9822101593,10411.429047584534,2,5000000
2,40,30069.16642189026,11242.465853691101,2,5000000
2,100,30361.44971847534,14796.558737754822,2,5000000
3,10,653.2549858093262,31.561970710754398,2,100000
3,40,592.9269790649414,27.60457992553711,2,100000
3,100,589.9336338043213,34.64078903198242,2,100000
3,10,6173.734903335571,139.9056911468506,2,1000000
3,40,6115.21053314209,222.30255603790283,2,1000000
3,100,6214.6055698394775,334.8276615142822,2,1000000
3,10,34034.02018547058,3338.135600090027,2,5000000
3,40,34052.63411998749,3780.725359916687,2,5000000
3,100,34426.47159099579,5213.536381721497,2,5000000
4,10,658.3554744720459,83.73677730560303,2,100000
4,40,618.7129020690918,77.53288745880127,2,100000
4,100,616.8519258499146,106.77754878997803,2,100000
4,10,6759.872674942017,559.8447322845459,2,1000000
4,40,6850.9708642959595,943.7085390090942,2,1000000
4,100,6777.040719985962,1454.1279077529907,2,1000000
4,10,38056.38241767883,6615.539312362671,2,5000000
4,40,38029.00683879852,9471.180081367493,2,5000000
4,100,39616.80519580841,14750.349640846252,2,5000000
5,10,699.3917226791382,68.09592247009277,2,100000
5,40,639.4375562667847,90.58880805969238,2,100000
5,100,637.7071142196655,131.03771209716797,2,100000
5,10,7482.03718662262,1529.9447774887085,2,1000000
5,40,7502.122521400452,2123.7066984176636,2,1000000
5,100,7646.910905838013,3215.1650190353394,2,1000000
5,10,43520.116567611694,19402.17876434326,2,5000000
5,40,44008.75020027161,32065.890908241272,2,5000000
5,100,48633.71419906616,43486.22906208038,2,5000000
6,10,708.7427377700806,101.2117862701416,2,100000
6,40,630.8126449584961,165.4047966003418,2,100000
6,100,636.5911960601807,244.79925632476807,2,100000
6,10,8111.831545829773,2702.4569511413574,2,1000000
6,40,8105.231523513794,3919.5396900177,2,1000000
6,100,8918.964624404907,5319.47135925293,2,1000000
6,10,49616.39595031738,42958.192348480225,2,5000000
6,40,49210.47341823578,62954.60903644562,2,5000000
6,100,56806.83088302612,85642.02356338501,2,5000000
7,10,723.5842943191528,145.6010341644287,2,100000
7,40,652.6768207550049,275.12431144714355,2,100000
7,100,664.4259691238403,321.4200735092163,2,100000
7,10,8995.950937271118,4529.826879501343,2,1000000
7,40,9003.053307533264,6320.344805717468,2,1000000
7,100,10183.488011360168,8306.47099018097,2,1000000
7,10,57619.349241256714,79388.2063627243,2,5000000
7,40,60774.582743644714,110654.84547615051,2,5000000
7,100,67888.00489902496,135815.9226179123,2,5000000
8,10,724.4476079940796,204.74088191986084,2,100000
8,40,662.1929407119751,340.3303623199463,2,100000
8,100,655.9759378433228,345.73495388031006,2,100000
8,10,10032.707929611206,5880.377173423767,2,1000000
8,40,9872.910380363464,7163.112282752991,2,1000000
8,100,11880.839467048645,8922.578573226929,2,1000000
8,10,67209.03301239014,107281.38136863708,1,5000000
8,40,67607.59663581848,142054.2311668396,1,5000000
8,100,82041.88871383667,171436.68174743652,1,5000000
9,10,716.1087989807129,323.3678340911865,1,100000
9,40,654.8013687133789,415.41028022766113,1,100000
9,100,666.3236618041992,524.7564315795898,1,100000
9,10,10402.048826217651,8120.711088180542,1,1000000
9,40,10505.460262298584,10161.19408607483,1,1000000
9,100,12677.393436431885,12242.406368255615,1,1000000
9,10,76124.98307228088,163488.99102211,1,5000000
9,40,75768.18442344666,200886.36302948,1,5000000
9,100,88043.51758956909,225974.2043018341,1,5000000
10,10,745.7752227783203,334.8355293273926,1,100000
10,40,696.2795257568359,415.18092155456543,1,100000
10,100,706.8698406219482,511.0082626342773,1,100000
10,10,10920.715808868408,10605.828762054443,1,1000000
10,40,11177.08659172058,12857.022047042848,1,1000000
10,100,13989.130973815918,14650.44403076172,1,1000000
10,10,81763.86284828186,210587.81218528748,1,5000000
