size,k,scann_time,fgc_time,count,fixed_dimension
50000,10,1306.5180778503418,222.1474647521973,1,3
100000,10,2644.506931304932,11.333227157592772,1,3
150000,10,4092.53191947937,9.464502334594728,1,3
200000,10,5622.779607772827,10.833740234375,1,3
250000,10,7691.2522315979,11.226892471313477,1,3
300000,10,9568.008661270142,11.926889419555664,1,3
350000,10,11410.020351409912,15.186786651611328,1,3
400000,10,12934.903860092165,17.618179321289062,1,3
450000,10,14512.344121932983,20.923852920532227,1,3
500000,10,17554.11410331726,24.01280403137207,1,3
550000,10,20468.60289573669,27.876853942871094,1,3
600000,10,21443.702459335327,33.26988220214844,1,3
650000,10,24580.827951431274,38.23113441467285,1,3
700000,10,25789.50238227844,43.41316223144531,1,3
750000,10,29516.59107208252,48.87127876281738,1,3
800000,10,31552.988290786743,54.859161376953125,1,3
850000,10,33233.77466201782,63.24148178100586,1,3
900000,10,36701.64179801941,71.41494750976562,1,3
950000,10,39282.68003463745,78.56869697570801,1,3
1000000,10,42247.602224349976,86.26222610473633,1,3
1050000,10,44005.11693954468,95.94416618347168,1,3
1100000,10,46641.77680015564,104.2921543121338,1,3
1150000,10,49793.40863227844,112.99729347229004,1,3
1200000,10,52714.83278274536,122.56288528442384,1,3
1250000,10,55372.485876083374,133.1934928894043,1,3
1300000,10,58461.99607849121,142.37165451049805,1,3
1350000,10,60573.12202453613,153.20467948913574,1,3
1400000,10,62356.09412193298,163.0692481994629,1,3
1450000,10,66780.30371665955,174.61681365966797,1,3
1500000,10,67337.242603302,186.0506534576416,1,3
1550000,10,74157.72914886475,198.04883003234863,1,3
1600000,10,76547.54614830017,210.667371749878,1,3
1650000,10,80651.00455284119,222.5959300994873,1,3
1700000,10,83339.20645713806,257.3375701904297,1,3
1750000,10,83768.12434196472,271.61145210266113,1,3
1800000,10,89918.07508468628,286.7929935455322,1,3
1850000,10,93659.0974330902,303.1280040740967,1,3
1900000,10,95593.04785728456,317.655086517334,1,3
1950000,10,99725.51202774048,334.6831798553467,1,3
2000000,10,102180.522441864,350.51894187927246,1,3
2050000,10,107679.31461334229,368.4980869293213,1,3
2100000,10,109344.09761428832,385.9899044036865,1,3
2150000,10,111313.71140480042,404.19745445251465,1,3
2200000,10,115586.88879013062,422.1618175506592,1,3
2250000,10,120444.269657135,441.0216808319092,1,3
2300000,10,125847.05114364624,460.56294441223145,1,3
2350000,10,127382.04407691956,504.7876834869385,1,3
2400000,10,131699.41639900208,525.4666805267334,1,3
2450000,10,131346.13943099976,546.8423366546631,1,3
2500000,10,137355.2701473236,568.2868957519531,1,3
2550000,10,141701.28655433655,590.3220176696777,1,3
2600000,10,146641.4966583252,614.3505573272705,1,3
2650000,10,150233.71028900146,636.8749141693115,1,3
2700000,10,156486.6108894348,660.3589057922363,1,3
2750000,10,157192.0850276947,683.7000846862793,1,3
2800000,10,161699.18990135193,709.3431949615479,1,3
2850000,10,210233.012676239,735.6114387512207,1,3
2900000,10,207852.94461250305,759.9639892578125,1,3
2950000,10,242100.8129119873,785.3460311889648,1,3
3000000,10,223114.4661903381,811.4984035491943,1,3
3050000,10,254039.67595100403,838.7372493743896,1,3
3100000,10,243648.5021114349,865.1258945465088,1,3
3150000,10,234791.67675971985,893.8212394714355,1,3
3200000,10,264316.5020942688,920.87721824646,1,3
3250000,10,269712.1036052704,948.9626884460448,1,3
3300000,10,251871.3777065277,978.7194728851318,1,3
3350000,10,254750.71144104004,1009.608030319214,1,3
3400000,10,260726.84168815613,1037.547588348389,1,3
3450000,10,260956.77542686465,1069.15283203125,1,3
3500000,10,233534.73377227783,1099.799394607544,1,3
3550000,10,238271.10052108765,1131.2706470489502,1,3
3600000,10,242968.57142448425,1161.576271057129,1,3
3650000,10,252008.0761909485,1193.4940814971924,1,3
3700000,10,256340.90852737427,1225.2769470214844,1,3
3750000,10,261917.29474067688,1257.821798324585,1,3
3800000,10,263584.64646339417,1292.6533222198486,1,3
3850000,10,266561.7587566376,1325.4685401916504,1,3
3900000,10,276256.1466693878,1358.7684631347656,1,3
3950000,10,280314.6319389343,1393.4636116027832,1,3
4000000,10,287123.71253967285,1430.2213191986084,1,3
4050000,10,286311.5198612213,1465.1241302490234,1,3
4100000,10,288919.6741580963,1499.6724128723145,1,3
4150000,10,299482.3589324951,1537.1928215026855,1,3
4200000,10,303336.4689350128,1573.3509063720703,1,3
4250000,10,309947.67332077026,1611.2723350524902,1,3
4300000,10,311889.6539211273,1648.4615802764893,1,3
4350000,10,324302.94013023376,1685.547113418579,1,3
4400000,10,326487.9765510559,1724.0629196166992,1,3
4450000,10,333264.4758224488,1761.9974613189695,1,3
4500000,10,361258.7656974793,1800.8582592010498,1,3
5000000,10,428184.23104286194,2335.6056213378906,1,3
5050000,10,436172.5525856018,2267.387866973877,1,3
5100000,10,447705.313205719,2306.660890579224,1,3
5150000,10,451793.3509349823,2487.663984298706,1,3
5200000,10,421221.00257873535,2534.017562866211,1,3
5250000,10,432853.9395332336,2584.3069553375244,1,3
5300000,10,433975.7521152496,2632.178544998169,1,3
5350000,10,447296.7901229858,2682.3670864105225,1,3
5400000,10,440132.9619884491,2731.6813468933105,1,3
5450000,10,453004.3001174927,2781.681776046753,1,3
5500000,10,497151.4070034027,3813.345193862915,1,3
5550000,10,576825.781583786,5694.595813751221,1,3
5600000,10,579702.691078186,5621.1998462677,1,3
5650000,10,563962.8350734711,5718.716382980347,1,3
5700000,10,581544.0566539764,5771.961450576782,1,3
5750000,10,594315.9096240997,5939.078569412231,1,3
5800000,10,602253.5111904144,6027.769088745117,1,3
5850000,10,609968.7333106995,6120.132923126221,1,3
5900000,10,623403.3415317535,6234.151601791382,1,3
5950000,10,615183.6259365082,6289.573907852173,1,3
6000000,10,630689.2092227936,6459.774971008301,1,3
6050000,10,638399.8329639435,6540.641784667969,1,3
6100000,10,644796.0877418518,6944.463014602661,1,3
6150000,10,648171.2362766266,6733.739614486694,1,3
6200000,10,650920.2764034271,6875.494480133057,1,3
6250000,10,654477.2238731384,6992.01226234436,1,3
6300000,10,667993.8991069794,7073.570489883423,1,3
