dimension,k,scann_time,fgc_time,count,fixed_size
2,10,47057.897090911865,903.9368629455566,5,1000000
3,10,41855.64208030701,192.77167320251465,5,1000000
4,10,42452.18276977539,579.369068145752,5,1000000
5,10,43877.13432312012,1604.518175125122,5,1000000
6,10,44764.47010040283,3021.472215652466,5,1000000
7,10,57163.46883773804,5260.843753814697,5,1000000
8,10,53586.64035797119,6341.205596923828,5,1000000
9,10,56131.598711013794,9288.949489593506,5,1000000
10,10,48757.27105140686,12604.461908340454,5,1000000
11,10,49817.86847114563,16908.206701278687,5,1000000
12,10,52767.78507232666,20830.845832824707,5,1000000
13,10,53353.11222076416,25950.331449508667,5,1000000
14,10,54485.586404800415,29837.80336380005,5,1000000
15,10,54436.851263046265,33429.64172363281,5,1000000
16,10,54612.38837242127,89549.72791671753,5,1000000
17,10,56747.9407787323,45207.83233642578,5,1000000
18,10,56091.43114089966,49487.56551742554,5,1000000
19,10,58257.62605667114,51986.05704307556,5,1000000
20,10,57421.04983329773,56657.71675109863,5,1000000
21,10,61535.22181510925,64718.74642372131,5,1000000
22,10,58107.03706741333,70496.7041015625,5,1000000
23,10,59204.9412727356,75921.13637924194,5,1000000
24,10,60393.497943878174,97703.03225517271,5,1000000
25,10,61050.10080337525,89021.16966247559,5,1000000
26,10,59677.97064781189,96415.385723114,5,1000000
27,10,63632.18855857849,99791.65077209473,5,1000000
28,10,63756.63256645203,100258.71014595032,5,1000000
29,10,63961.99131011963,117025.9211063385,5,1000000
30,10,63532.28664398193,120595.27468681335,5,1000000
31,10,66165.18068313599,131370.57852745056,5,1000000
32,10,66604.54607009888,422090.4278755188,5,1000000
33,10,67390.66696166992,147317.56329536438,5,1000000
34,10,68712.45574951172,148642.0226097107,5,1000000
35,10,70545.05610466003,150304.76236343384,5,1000000
36,10,70765.01727104187,155816.58816337585,5,1000000
37,10,74251.14870071411,165925.7972240448,5,1000000
38,10,73810.36043167114,170671.82517051697,5,1000000
39,10,73565.71555137634,177521.50297164917,5,1000000
40,10,72199.02348518372,203341.1910533905,5,1000000
41,10,76025.21014213562,186435.82487106323,5,1000000
42,10,75905.94029426575,190826.3885974884,5,1000000
43,10,77510.78367233276,193238.361120224,5,1000000
44,10,78354.57158088684,199628.0720233917,5,1000000
45,10,80647.66645431519,211687.89768219,5,1000000
46,10,80713.76705169678,223632.14468956,5,1000000
47,10,81871.77968025208,219384.76943969727,5,1000000
48,10,82335.73532104492,349127.18319892883,5,1000000
49,10,84354.57396507263,139776.46660804749,5,1000000
50,10,93628.28612327576,171197.4594593048,5,1000000

