dimension,k,scann_time,fgc_time,count,fixed_size
2,10,2489.8468255996704,27.55305767059327,10,100000
3,10,2535.441374778747,13.009476661682129,10,100000
4,10,2541.308498382569,45.84469795227051,10,100000
5,10,2586.5535259246826,58.2594633102417,10,100000
6,10,2691.2508726119995,103.5318374633789,10,100000
7,10,2730.3185462951656,144.08721923828125,10,100000
8,10,2747.9313373565674,185.20660400390622,10,100000
9,10,2803.031253814697,260.37533283233637,10,100000
10,10,2831.4780235290527,304.22916412353527,10,100000
11,10,2877.5218009948726,348.9006519317627,10,100000
12,10,2913.18109035492,573.3078718185425,10,100000
13,10,3032.087588310242,639.0823364257812,10,100000
14,10,2979.587888717652,808.4032773971558,10,100000
15,10,3044.7227239608765,862.3119831085205,10,100000
16,10,3038.5968446731567,1398.3325004577637,10,100000
17,10,3128.916358947754,1282.6604604721072,10,100000
18,10,3108.487868309021,1434.8289966583254,10,100000
19,10,3241.6194200515747,1400.9783267974851,10,100000
20,10,3230.323195457459,1539.5163297653203,10,100000
21,10,3328.153705596924,1784.8004341125488,10,100000
22,10,3280.6917190551767,2432.356286048889,10,100000
23,10,3367.898917198182,2250.469136238098,10,100000
24,10,3377.163791656494,2353.0878782272343,10,100000
25,10,3420.2564239501953,2714.9537801742554,10,100000
26,10,3427.584385871887,3120.9466457366943,10,100000
27,10,3507.918167114258,3135.760974884033,10,100000
28,10,3516.291284561157,3318.8140153884888,10,100000
29,10,3614.5437955856332,3352.4041175842276,10,100000
30,10,3592.482042312622,3930.678892135621,10,100000
31,10,3678.3706188201904,3870.9758043289185,10,100000
32,10,3699.519824981688,5895.526599884033,10,100000
33,10,3785.0242137908926,3635.0383043289185,10,100000
34,10,3953.1832218170175,4632.193851470947,10,100000
35,10,3861.6193532943735,4790.763354301453,10,100000
36,10,3859.2565298080444,4721.887588500977,10,100000
37,10,3915.1813268661485,5129.085946083069,10,100000
38,10,3935.6467723846426,5330.553030967712,10,100000
39,10,3972.074246406555,5357.919073104858,10,100000
40,10,3985.5061292648315,5052.581334114075,10,100000
41,10,4120.359230041504,5168.766903877258,10,100000
42,10,4150.753593444824,5950.430703163147,10,100000
43,10,4244.545674324036,6575.076484680176,10,100000
44,10,4211.368036270142,5519.955348968506,10,100000
45,10,4336.741471290588,6921.874022483826,10,100000
46,10,4348.399710655212,6462.326955795288,10,100000
47,10,4422.455477714539,5487.477135658264,10,100000
48,10,4439.573669433594,8224.986338615417,10,100000
49,10,4460.436964035034,6269.444489479065,10,100000
50,10,4445.581388473512,7165.378904342651,10,100000
51,10,4529.215288162232,7396.563529968262,10,100000
52,10,4525.168538093567,7359.368300437927,10,100000
53,10,4644.917559623718,7837.700080871582,10,100000
54,10,4661.77363395691,7788.396596908569,10,100000
55,10,4770.580077171326,7738.983798027039,10,100000
56,10,4848.707389831543,6998.344421386719,10,100000
57,10,4948.793864250183,7427.46889591217,10,100000
58,10,4980.9659242630005,7777.678751945496,10,100000
59,10,5046.186327934265,7358.508801460266,10,100000
60,10,4946.861386299133,7759.496593475342,10,100000
61,10,5069.264316558838,8067.041254043579,10,100000
62,10,5027.171468734741,8072.11971282959,10,100000
63,10,5117.17712879181,8291.405177116394,10,100000
64,10,5194.660687446594,12107.283830642698,10,100000
65,10,5296.6835260391235,9122.78592586517,10,100000
66,10,5282.5896978378305,8310.944819450378,10,100000
67,10,5232.402086257935,9783.949542045595,10,100000
68,10,5395.014405250549,9257.83519744873,10,100000
69,10,5405.812644958496,8274.35417175293,10,100000
70,10,5377.527165412903,9151.069307327272,10,100000
71,10,5503.531646728516,8610.181331634521,10,100000
72,10,5534.519839286804,9968.830704689026,10,100000
73,10,5671.109414100647,8178.535223007202,10,100000
74,10,5605.556321144104,9225.033617019653,10,100000
75,10,5750.524735450745,9593.728399276732,10,100000
76,10,5700.3989934921265,9667.538118362427,10,100000
77,10,5751.8205642700195,9924.071049690247,10,100000
78,10,5864.266800880432,9909.00790691376,10,100000
79,10,5970.7763671875,9994.422864913944,10,100000
80,10,5804.451489448547,11988.373088836672,10,100000
81,10,5984.986209869385,10436.704707145695,10,100000
82,10,6249.417686462402,10514.01243209839,10,100000
83,10,6019.171762466431,9790.77937602997,10,100000
84,10,6103.824734687805,10882.920861244203,10,100000
85,10,6139.970564842224,10327.998375892637,10,100000
86,10,6154.738545417786,11772.2784280777,10,100000
87,10,6248.89063835144,11346.886610984806,10,100000
88,10,6169.970703125001,10199.043583869936,10,100000
89,10,6346.232080459596,10286.033391952515,10,100000
90,10,6424.144887924194,11563.49539756775,10,100000
91,10,6490.0012016296405,11408.84590148926,10,100000
92,10,6515.187382698059,11925.61628818512,10,100000
93,10,6553.043127059937,11383.99248123169,10,100000
94,10,6488.266372680664,11547.349810600277,10,100000
95,10,6648.427653312683,12092.262983322145,10,100000
96,10,6565.956759452822,17011.91453933716,10,100000
97,10,6692.73955821991,11770.742106437681,10,100000
98,10,6759.552597999573,12245.05968093872,10,100000
99,10,6805.791807174683,12759.092950820921,10,100000
100,10,6819.7919845581055,13307.964730262756,10,100000
