size,k,scann_time,fgc_time,count,fixed_dimension
50000,10,1781.0513973236084,383.11243057250977,5,10
100000,10,2956.707239151001,319.8411464691162,5,10
150000,10,4765.760183334351,555.7084083557129,5,10
200000,10,7263.082265853882,532.6488018035889,5,10
250000,10,9374.122142791748,711.8797302246094,5,10
300000,10,13047.971963882446,866.5900230407715,5,10
350000,10,14028.13458442688,1100.475549697876,5,10
400000,10,16910.550594329834,1416.687250137329,5,10
450000,10,19645.67708969116,1653.6736488342283,5,10
500000,10,22164.921045303345,1918.139934539795,5,10
550000,10,25155.6339263916,2296.7662811279297,5,10
600000,10,26746.32453918457,2724.85899925232,5,10
650000,10,28710.24465560913,3125.1673698425293,5,10
700000,10,35853.97553443909,3571.554183959961,5,10
750000,10,33505.74207305908,4148.338794708252,5,10
800000,10,35899.982929229736,4662.934064865112,5,10
850000,10,39579.32472229004,5303.935289382935,5,10
900000,10,41375.18620491028,5900.670289993286,5,10
950000,10,44336.34614944458,6432.311296463013,5,10
1000000,10,47960.94179153442,10396.6646194458,5,10
1050000,10,52264.13345336914,7841.861248016357,5,10
1100000,10,55216.20202064514,8634.95922088623,5,10
1150000,10,60140.29335975647,9262.48025894165,5,10
1200000,10,58937.51621246338,9997.451305389404,5,10
1250000,10,73333.70161056519,10863.158226013184,5,10
1300000,10,71025.58398246765,11805.166006088257,5,10
1350000,10,71398.0040550232,12550.504446029665,5,10
1400000,10,75258.4776878357,13410.966396331787,5,10
1450000,10,82516.57128334045,14374.970436096191,5,10
1500000,10,86314.20850753784,15270.86591720581,5,10
1550000,10,89607.37228393555,16182.396650314333,5,10
1600000,10,94169.89517211914,17147.872924804688,5,10
1650000,10,98393.55111122131,17970.545530319214,5,10
1700000,10,101758.5060596466,19260.300874710083,5,10
1750000,10,106985.70156097412,20189.440488815308,5,10
1800000,10,110597.32413291933,21401.00145339966,5,10
1850000,10,115240.4763698578,22532.054901123047,5,10
1900000,10,115555.04727363586,23621.76394462585,5,10
1950000,10,122758.90970230104,46300.54688453674,5,10
2000000,10,129112.2510433197,27625.54287910461,5,10
2050000,10,132576.66635513306,27289.52980041504,5,10
2100000,10,132719.66862678528,60513.14735412598,5,10
2150000,10,140418.603181839,59909.8756313324,5,10
2200000,10,145413.85626792908,30734.740018844604,5,10
2250000,10,149607.95283317566,32335.866451263428,5,10
2300000,10,156222.3515510559,33719.56276893616,5,10
2350000,10,163522.68362045288,35207.58676528931,5,10
2400000,10,165546.3409423828,36726.80449485779,5,10
2450000,10,169809.14759635925,38015.254735946655,5,10
2500000,10,176535.33458709717,39577.76689529419,5,10
2550000,10,180100.77905654907,41147.66716957092,5,10
2600000,10,190677.20532417297,42633.58187675476,5,10
2650000,10,194309.13925170896,44224.860191345215,5,10
2700000,10,197301.26357078552,45851.80401802063,5,10
