size,k,scann_time,fgc_time,count,fixed_dimension
50000,10,1337.0532989501953,265.0899887084961,5,5
100000,10,2754.456043243408,88.23394775390625,5,5
150000,10,4264.910697937012,117.88129806518556,5,5
200000,10,6133.4874629974365,135.9245777130127,5,5
250000,10,7759.3324184417725,190.87481498718265,5,5
300000,10,9650.568962097168,225.4278659820557,5,5
350000,10,11333.093166351318,303.0710220336914,5,5
400000,10,13525.900840759276,378.0331611633301,5,5
450000,10,15420.207023620604,431.78677558898926,5,5
500000,10,17608.577013015747,536.6859436035156,5,5
550000,10,20011.80911064148,554.8567771911621,5,5
600000,10,23910.16125679016,897.7603912353516,5,5
650000,10,26456.189155578613,699.0315914154053,5,5
700000,10,29687.07299232483,747.3578453063965,5,5
750000,10,33528.18465232849,851.9730567932129,5,5
800000,10,34141.28637313843,980.3223609924316,5,5
850000,10,37573.61888885498,1102.6012897491455,5,5
900000,10,38744.58575248718,1224.2801189422607,5,5
950000,10,37940.85288047791,1446.3067054748535,5,5
1000000,10,43623.65388870239,1587.9485607147217,5,5
1050000,10,43922.94263839722,1585.1233005523682,5,5
1100000,10,47508.34035873413,1694.478988647461,5,5
1150000,10,52686.88106536865,1684.9963665008545,5,5
1200000,10,57607.7995300293,1989.8178577423096,5,5
1250000,10,59554.94999885559,1899.3051052093504,5,5
1300000,10,59870.16248703003,2133.542060852051,5,5
1350000,10,65124.37653541565,2243.3249950408936,5,5
1400000,10,65469.82407569885,2336.0562324523926,5,5
1450000,10,71148.26703071594,2463.985204696656,5,5
1500000,10,77624.40967559814,2735.824584960937,5,5
1550000,10,81908.71691703796,2898.176908493042,5,5
1600000,10,84420.3073978424,2817.763090133667,5,5
1650000,10,90948.34637641908,3244.331359863281,5,5
1700000,10,92305.94086647034,3098.4389781951904,5,5
1750000,10,94307.39784240724,3347.5608825683594,5,5
1800000,10,102605.59964179993,3452.1288871765137,5,5
1850000,10,104029.50549125671,3635.321140289306,5,5
1900000,10,106218.66941452026,3804.320812225342,5,5
1950000,10,109285.64596176147,3833.911180496216,5,5
2000000,10,113357.47838020325,4318.686723709106,5,5
2050000,10,120377.8908252716,4626.898765563965,5,5
2100000,10,123846.96578979492,4471.390962600708,5,5
2150000,10,128905.07578849792,4663.498401641846,5,5
2200000,10,132019.57321166992,4903.194427490234,5,5
2250000,10,133903.85341644287,3912.656545639038,5,5
2300000,10,136648.3438014984,4048.694372177124,5,5
2350000,10,146937.6106262207,4525.118589401245,5,5
2400000,10,148588.94062042236,4719.664096832275,5,5
2450000,10,150004.39596176147,4848.2725620269775,5,5
2500000,10,152530.57265281677,5853.242874145508,5,5
2550000,10,158297.0838546753,6082.934379577637,5,5
2600000,10,159727.92172431946,6175.628423690796,5,5
2650000,10,170446.58946990967,6355.880975723267,5,5
2700000,10,172463.0570411682,6681.932687759399,5,5
2750000,10,173354.90012168884,6772.313594818115,5,5
2800000,10,177937.93535232544,7147.908687591553,5,5
2850000,10,185220.0722694397,7648.968696594238,5,5
2900000,10,192004.2402744293,7370.997190475464,5,5
2950000,10,191880.3286552429,7514.85276222229,5,5
3000000,10,198295.63331604004,7926.20325088501,5,5
3050000,10,204854.44593429565,8047.626972198486,5,5
3100000,10,207250.3535747528,8345.807075500488,5,5
3150000,10,209752.28309631348,8549.290895462036,5,5
3200000,10,213547.744512558,8688.267707824707,5,5
3250000,10,220109.68732833865,8655.039072036743,5,5
3300000,10,225570.13487815857,8949.34368133545,5,5
3350000,10,235243.52645874023,9321.305751800535,5,5
3400000,10,236064.72539901733,9447.384595870972,5,5
3450000,10,239300.5151748657,10174.766540527344,5,5
3500000,10,248050.63676834104,9836.324453353882,5,5
3550000,10,253183.7060451508,10169.270992279053,5,5
3600000,10,256284.6727371216,10283.82444381714,5,5
3650000,10,271270.0879573822,10589.614868164062,5,5
3700000,10,270909.3713760376,11363.950967788696,5,5
3750000,10,292133.2128047943,11052.822828292848,5,5
3800000,10,281136.47198677063,11361.472606658936,5,5
3850000,10,287948.4717845917,11468.550443649292,5,5
3900000,10,294389.2843723297,11580.737590789797,5,5
3950000,10,302560.1110458374,11858.692646026611,5,5
4000000,10,306369.9927330017,12257.445335388184,5,5
4050000,10,313721.7483520508,12761.584997177124,5,5
4100000,10,317660.42017936707,12778.23042869568,5,5
4150000,10,325981.97889328003,14152.357578277588,5,5
4200000,10,331009.76371765137,14521.108627319336,5,5
4250000,10,333657.91749954224,13843.93858909607,5,5
4300000,10,341866.5988445282,14354.305505752563,5,5
4350000,10,348780.6088924408,14240.463733673096,5,5
4400000,10,355655.4112434387,15914.96229171753,5,5
4450000,10,363839.4601345062,15123.436689376833,5,5
4500000,10,370179.1641712189,15266.247510910034,5,5
4550000,10,375107.8736782074,15008.094787597656,5,5
4600000,10,380839.7414684296,15359.047651290894,5,5
4650000,10,394398.0963230133,15980.134963989258,5,5
4700000,10,393434.5467090607,17556.201934814453,5,5
4750000,10,400218.8522815704,16773.441076278687,5,5
4800000,10,404505.1944255829,17048.908710479736,5,5
4850000,10,413257.2226524353,17609.58456993103,5,5
4900000,10,422162.584066391,17479.65121269226,5,5
4950000,10,428639.5292282105,17489.06421661377,5,5
5000000,10,445221.1563587189,19243.972301483154,5,5
5050000,10,441373.12269210815,17868.284940719604,5,5
5100000,10,446493.07012557983,19195.258855819706,5,5
5150000,10,453224.72286224365,19392.94123649597,5,5
5200000,10,473054.6131134033,19049.697399139404,5,5
5250000,10,470887.6898288727,19024.29890632629,5,5
5300000,10,480280.5845737457,19330.72113990784,5,5
5350000,10,489341.6697978973,19564.37659263611,5,5
5400000,10,497526.34716033936,19799.113988876343,5,5
5450000,10,503849.1439819336,20972.586631774902,5,5
5500000,10,506113.4679317474,20351.465225219727,5,5
5550000,10,522632.33637809753,20791.56255722046,5,5
5600000,10,528897.3104953766,21216.58682823181,5,5
5650000,10,537838.4675979614,21449.594736099243,5,5
5700000,10,540753.121137619,22267.385005950928,5,5
5750000,10,550330.4100036621,22308.92586708069,5,5
5800000,10,557852.7100086212,25012.40873336792,5,5
5850000,10,556392.6177024841,22784.390926361084,5,5
5900000,10,567703.307390213,23039.008140563965,5,5
5950000,10,581653.660774231,23534.25645828247,5,5
6000000,10,588412.8711223602,26033.594846725464,5,5
6050000,10,601290.3583049774,24348.58775138855,5,5
6100000,10,607114.3536567688,24724.33590888977,5,5
6150000,10,611867.467880249,25952.31771469116,5,5
6200000,10,617526.4337062836,26775.577545166016,5,5
6250000,10,627118.1592941284,26265.148639678955,5,5
6300000,10,653106.0304641724,26147.098779678345,5,5
6350000,10,663737.7078533173,26809.82756614685,5,5
6400000,10,651190.1662349701,26879.568338394165,5,5
6450000,10,660148.9078998566,28258.904457092285,5,5
6500000,10,668581.7785263062,26727.676153182983,5,5
6550000,10,694028.2940864563,27630.73253631592,5,5
6600000,10,684350.2683639526,27491.093397140503,5,5
6650000,10,701329.5331001282,28044.99053955078,5,5
6700000,10,713860.1853847504,28396.83485031128,5,5
6750000,10,739772.5014686584,28731.31227493286,5,5
6800000,10,748447.0942020416,28976.088762283325,5,5
6850000,10,757419.7673797607,29036.295890808105,5,5
6900000,10,749774.1668224335,29654.131174087524,5,5
6950000,10,755265.8848762512,30363.269329071045,5,5
7000000,10,770317.0773983002,30548.47407341004,5,5
7050000,10,778906.8932533264,25793.34211349488,5,5
7100000,10,787529.6590328217,30215.88134765625,5,5
7150000,10,794340.1584625244,30680.877447128296,5,5
7200000,10,805712.372303009,30983.6905002594,5,5
7250000,10,812093.0562019348,31487.1838092804,5,5
7300000,10,822816.8864250183,31644.68121528625,5,5
7350000,10,835991.0178184509,33835.357666015625,5,5
7400000,10,841078.3722400665,32453.59992980957,5,5
7450000,10,858439.6169185638,33230.88598251343,5,5
7500000,10,865155.3254127502,34752.7220249176,5,5
7550000,10,866383.4211826324,33335.66617965698,5,5
7600000,10,881446.8464851379,34330.440521240234,5,5
7650000,10,891745.7559108734,36019.18315887451,5,5
7700000,10,910115.3523921968,34165.815591812134,5,5
7750000,10,921698.887348175,34937.68262863159,5,5
7800000,10,934214.7076129912,35245.81480026245,5,5
7850000,10,937847.5947380066,35551.40948295593,5,5
7900000,10,940377.7425289154,36483.89101028442,5,5
7950000,10,983700.1595497133,42651.19957923889,5,5
8000000,10,998082.2503566742,43383.27264785767,5,5
8050000,10,1009002.7768611908,44495.3920841217,5,5
8100000,10,1003851.5012264252,43428.795337677,5,5
8150000,10,1032329.0958404541,46476.250886917114,5,5
8200000,10,1057483.1700325012,45070.738554000854,5,5
8250000,10,1056365.520954132,45143.86582374573,5,5
8300000,10,1059888.9257907867,47186.914920806885,5,5
8350000,10,1108364.4280433655,46465.74139595032,5,5
8400000,10,1089213.5922908783,46964.78033065796,5,5
8450000,10,1077135.1153850555,46914.14499282837,5,5
8500000,10,1091285.5343818665,50829.45919036865,5,5
8550000,10,1106442.9461956024,49791.71013832092,5,5
8600000,10,1122415.821313858,49487.730503082275,5,5
8650000,10,1123431.6091537476,51035.308837890625,5,5
8700000,10,1139663.3417606354,50715.61789512634,5,5
8750000,10,1151156.1386585236,51469.93923187256,5,5
8800000,10,1163117.6660060883,54600.989818573,5,5
8850000,10,1167907.517671585,52560.73880195618,5,5
8900000,10,1197266.340494156,52702.04663276672,5,5
8950000,10,1194852.2527217865,53342.98300743103,5,5
9000000,10,1218372.427225113,53940.66596031189,5,5
9050000,10,1232757.1473121643,53778.05399894714,5,5
9100000,10,1249251.0113716125,54834.95569229126,5,5
9150000,10,1258208.5967063904,55152.09412574768,5,5
9200000,10,1268486.144065857,55666.72325134277,5,5
9250000,10,1272485.1880073547,55831.46667480469,5,5
9300000,10,1284004.9788951874,56344.897508621216,5,5
9350000,10,1305569.631576538,56668.40720176697,5,5
9400000,10,1326623.2764720917,57090.9206867218,5,5
9450000,10,1325166.0614013672,60513.80801200867,5,5
9500000,10,1319411.4785194397,58562.04795837402,5,5
9550000,10,1337364.7937774658,58989.627838134766,5,5
9600000,10,1363616.3289546967,59343.610763549805,5,5
9650000,10,1374935.802936554,59986.57774925232,5,5
9700000,10,1392586.770772934,60439.34202194214,5,5
9750000,10,1405524.9290466309,63609.70377922058,5,5
9800000,10,1431445.6651210785,61354.46619987488,5,5
9850000,10,1432613.2402420044,61669.45934295654,5,5
9900000,10,1449944.9391365051,62354.22921180725,5,5
9950000,10,1462334.774017334,62756.29186630249,5,5
10000000,10,1464152.0414352417,63705.73329925537,5,5
