size,k,scann_time,fgc_time,count,fixed_dimension
50000,40,2336.4641666412354,487.08105087280273,5,10
100000,40,3807.173013687134,482.7556610107422,5,10
150000,40,6206.207513809204,774.0938663482666,5,10
200000,40,9000.267028808594,1122.7984428405762,5,10
250000,40,11169.467687606812,1468.8234329223633,5,10
300000,40,14683.574438095093,1910.2771282196045,5,10
350000,40,16595.41130065918,2639.9807929992676,5,10
400000,40,18971.73762321472,3015.7861709594727,5,10
450000,40,22176.806688308716,4115.79704284668,5,10
500000,40,25628.93557548523,4260.39981842041,5,10
550000,40,28031.83150291443,5204.118728637695,5,10
600000,40,30211.440086364746,6173.234224319458,5,10
650000,40,35880.45811653137,7052.217960357666,5,10
700000,40,39115.4682636261,7754.487037658691,5,10
750000,40,43098.501443862915,9101.959466934204,5,10
800000,40,45656.5523147583,9661.356687545776,5,10
850000,40,50898.16737174988,11262.793779373169,5,10
900000,40,53441.83421134949,13328.370809555054,5,10
950000,40,57609.65847969055,14835.30855178833,5,10
1000000,40,60484.119176864624,15485.039234161377,5,10
1050000,40,64571.208000183105,17980.149507522583,5,10
1100000,40,69755.46884536743,18397.53222465515,5,10
1150000,40,73706.49790763855,20031.002521514893,5,10
1200000,40,77545.19391059875,21679.200649261475,5,10
1250000,40,82952.8284072876,23090.434312820435,5,10
1300000,40,88073.74382019043,24435.415983200073,5,10
1350000,40,92544.52562332153,26850.77977180481,5,10
1400000,40,96084.89847183228,28903.114557266235,5,10
1450000,40,101796.20099067688,31660.77184677124,5,10
1500000,40,104984.82847213745,33760.12325286865,5,10
1550000,40,106388.71908187866,33965.64960479736,5,10
1600000,40,111889.96315002441,35283.947467803955,5,10
1650000,40,117050.01330375671,37355.93914985657,5,10
1700000,40,148899.79696273804,40198.62699508667,5,10
1750000,40,146773.76985549927,44335.21485328674,5,10
1800000,40,138685.38355827332,45982.64479637146,5,10
1850000,40,146118.31283569336,46969.19393539429,5,10
1900000,40,149175.16899108887,49104.20775413513,5,10
1950000,40,158281.59475326538,51973.525047302246,5,10
2000000,40,163916.58687591553,54907.82809257507,5,10
2050000,40,166920.4924106598,58587.40949630737,5,10
2100000,40,184491.76025390625,59310.1487159729,5,10
2150000,40,178840.48342704773,61854.127645492554,5,10
2200000,40,192156.66317939758,63753.10015678406,5,10
2250000,40,192510.80751419067,70460.78276634216,5,10
2300000,40,197852.01859474182,70764.0974521637,5,10
2350000,40,203364.40658569336,79988.32869529724,5,10
2400000,40,209918.3166027069,76382.96556472778,5,10
2450000,40,215101.21655464172,79693.34650039673,5,10
2500000,40,222755.24473190308,85667.21725463867,5,10
2550000,40,230424.61800575256,87366.65511131287,5,10
2600000,40,238125.95200538635,88675.38166046143,5,10
2650000,40,242629.21977043152,93280.35235404968,5,10
2700000,40,259478.56974601746,96787.70899772644,5,10
2750000,40,275158.6799621582,99848.31476211548,5,10
2800000,40,282958.0354690552,109758.80455970764,5,10
2850000,40,277942.3303604126,105776.75318717957,5,10
2900000,40,287807.4724674225,110718.37997436523,5,10
2950000,40,292860.5287075043,113888.46373558044,5,10
3000000,40,296026.67236328125,117334.65337753296,5,10
3050000,40,306108.362197876,126978.19113731384,5,10
3100000,40,310248.19588661194,124980.46112060547,5,10
3150000,40,321640.60974121094,127439.89086151123,5,10
3200000,40,324129.43172454834,131543.6146259308,5,10
3250000,40,332522.6557254791,137263.4837627411,5,10
3300000,40,346505.46860694885,139201.22361183167,5,10
3350000,40,348588.255405426,144138.75198364258,5,10
3400000,40,361709.9332809448,146690.68121910095,5,10
3450000,40,358479.75158691406,153063.0133152008,5,10
3500000,40,372022.47166633606,159370.47910690308,5,10
3550000,40,382286.58533096313,162483.88147354126,5,10
3600000,40,388701.2641429901,178395.0433731079,5,10
3650000,40,392170.73225975037,175526.39293670654,5,10
3700000,40,408374.746799469,186567.6987171173,5,10
3750000,40,408585.3319168091,180449.52034950256,5,10
3800000,40,462149.36232566833,187905.92074394226,5,10
3850000,40,434977.4947166443,186132.8568458557,5,10
3900000,40,445636.63148880005,190508.08882713318,5,10
3950000,40,450521.0349559784,196103.91354560852,5,10
4000000,40,457608.70695114136,201364.61448669434,5,10
4050000,40,472993.67904663086,221412.348985672,5,10
4100000,40,477736.63210868835,213013.81635665894,5,10
4150000,40,518848.14047813416,215501.70707702637,5,10
4200000,40,499553.72190475464,234975.13055801392,5,10
4250000,40,505773.5321521759,225900.54988861084,5,10
4300000,40,525028.8183689117,231534.19995307922,5,10
4350000,40,544766.6773796082,247123.17991256714,5,10
4400000,40,594409.9621772766,241285.25686264038,5,10
4450000,40,542228.1663417816,245397.09401130676,5,10
4500000,40,553554.7676086426,252567.0108795166,5,10
4550000,40,563617.5153255463,273588.06252479553,5,10
4600000,40,572748.8677501678,258813.73262405396,5,10
4650000,40,580390.0694847107,266450.02007484436,5,10
4700000,40,596730.4961681366,270785.1252555847,5,10
4750000,40,625990.4067516327,277333.8210582733,5,10
4800000,40,612260.2951526642,279382.70807266235,5,10
4850000,40,620785.4959964752,288281.7804813385,5,10
4900000,40,641103.2810211182,304312.4666213989,5,10
4950000,40,663226.978302002,314342.0686721802,5,10
5000000,40,659339.0805721283,322571.31481170654,5,10
