size,k,scann_time,fgc_time,count,fixed_dimension
50000,100,1977.1125316619873,550.1642227172852,5,10
100000,100,5074.971675872803,513.3891105651855,5,10
150000,100,7982.887268066406,982.8147888183594,5,10
200000,100,9187.548875808716,1488.3277416229248,5,10
250000,100,12389.031410217285,1940.8237934112549,5,10
300000,100,15438.806772232056,2339.9603366851807,5,10
350000,100,18819.791793823242,3125.725746154785,5,10
400000,100,21809.926986694336,3862.0288372039795,5,10
450000,100,25390.00630378723,4846.496343612671,5,10
500000,100,28500.82039833069,5199.53179359436,5,10
550000,100,32053.830862045288,6300.239324569702,5,10
600000,100,37723.8929271698,7255.215644836426,5,10
650000,100,39059.8201751709,8456.16626739502,5,10
700000,100,41798.04754257202,9432.620286941528,5,10
750000,100,47314.69130516052,10799.630403518677,5,10
800000,100,49596.551179885864,12425.607204437256,5,10
850000,100,53937.0539188385,13952.187299728394,5,10
900000,100,58059.484004974365,15079.170227050781,5,10
950000,100,69931.67686462402,16866.875171661377,5,10
1000000,100,77471.45557403564,18470.932722091675,5,10
1050000,100,90732.44881629944,19551.315546035767,5,10
1100000,100,84769.0818309784,21552.075147628784,5,10
1150000,100,81684.65495109558,22732.42950439453,5,10
1200000,100,87537.28103637695,25681.580305099487,5,10
1250000,100,86369.36902999878,26803.196907043457,5,10
1300000,100,93234.88426208496,28958.38499069214,5,10
1350000,100,99784.08122062683,30721.888303756714,5,10
1400000,100,103731.57620429993,32667.948722839355,5,10
1450000,100,109999.84312057495,35646.06213569641,5,10
1500000,100,113637.17079162598,38582.53741264343,5,10
1550000,100,117804.77285385132,39228.92498970032,5,10
1600000,100,134127.21276283264,41302.284479141235,5,10
1650000,100,131827.59046554565,43486.15074157715,5,10
1700000,100,134647.92156219482,45946.63619995117,5,10
1750000,100,141564.4292831421,50337.005615234375,5,10
1800000,100,145983.18600654602,51191.97630882263,5,10
1850000,100,151761.72471046448,53408.9879989624,5,10
1900000,100,154808.23588371277,56643.014907836914,5,10
1950000,100,161630.7830810547,61269.40417289734,5,10
2000000,100,162896.7320919037,61551.53393745422,5,10
2050000,100,170883.8131427765,63819.666147232056,5,10
2100000,100,174714.87641334534,67212.60452270508,5,10
2150000,100,182013.98086547852,69849.94769096375,5,10
2200000,100,185164.93129730225,73658.29658508301,5,10
2250000,100,195252.50625610352,76695.62482833862,5,10
2300000,100,202235.96358299255,79949.63455200195,5,10
2350000,100,206981.32371902466,82726.0422706604,5,10
2400000,100,211458.7104320526,84773.66638183594,5,10
2450000,100,217137.51530647278,88765.88821411133,5,10
2500000,100,225196.3324546814,93282.07349777222,5,10
2550000,100,231408.26725959778,99537.0740890503,5,10
2600000,100,239355.57961463928,100043.17355155945,5,10
2650000,100,250530.38120269775,103597.47529029846,5,10
2700000,100,250097.71490097046,106797.25885391235,5,10
2750000,100,258610.6517314911,111494.38261985779,5,10
2800000,100,264702.7268409729,118118.31831932068,5,10
2850000,100,270765.2356624603,117239.59279060364,5,10
2900000,100,278515.1307582855,121014.22810554504,5,10
2950000,100,284979.92491722107,91003.34095954895,5,10
3000000,100,289870.8071708679,92979.88986968994,5,10
3050000,100,301399.89399909973,134018.96238327026,5,10
3100000,100,303197.4835395813,144203.84979248047,5,10
3150000,100,313036.4351272583,141492.67148971558,5,10
3200000,100,321718.7178134918,150704.16593551636,5,10
3250000,100,330697.3078250885,151421.08249664307,5,10
3300000,100,337389.3964290619,152933.15029144287,5,10
3350000,100,340776.5963077545,159216.61019325256,5,10
3400000,100,347443.83692741394,162015.06066322327,5,10
3450000,100,358582.0918083191,174606.52017593384,5,10
3500000,100,365705.29532432556,172869.02952194214,5,10
3550000,100,375127.0303726196,175391.9816017151,5,10
3600000,100,384350.1250743866,180670.8905696869,5,10
3650000,100,393928.8513660431,185162.28652000427,5,10
3700000,100,400606.8947315216,189421.1995601654,5,10
3750000,100,414461.4682197571,194251.7442703247,5,10
3800000,100,421270.3924179077,200455.9826850891,5,10
3850000,100,432638.26036453247,206267.11583137512,5,10
3900000,100,446717.13376045227,209924.93987083435,5,10
3950000,100,453024.4309902191,216993.47686767578,5,10
4000000,100,462081.5749168396,220246.0629940033,5,10
4050000,100,467913.8534069061,227697.30234146118,5,10
4100000,100,484233.25300216675,233811.31291389465,5,10
4150000,100,485861.465215683,237818.17483901978,5,10
4200000,100,499248.1734752655,249850.0280380249,5,10
4250000,100,504210.280418396,252567.9018497467,5,10
4300000,100,516733.71171951294,253182.1835041046,5,10
4350000,100,527869.6217536926,257409.40713882446,5,10
4400000,100,534252.2993087769,264987.26320266724,5,10
4450000,100,548358.7334156036,272132.94672966003,5,10
4500000,100,556546.4906692505,276643.4621810913,5,10
4550000,100,567753.4668445587,282108.7169647217,5,10
4600000,100,576220.2882766724,286005.77902793884,5,10
4650000,100,590030.8368206024,291941.606760025,5,10
4700000,100,602084.4333171844,299534.2321395874,5,10
4750000,100,605635.9295845032,304314.44907188416,5,10
4800000,100,620130.9108734131,310756.92892074585,5,10
4850000,100,628665.4706001282,316888.0994319916,5,10
4900000,100,638779.6785831451,332310.3139400482,5,10
4950000,100,657157.2842597961,332798.07806015015,5,10
5000000,100,666865.5807971954,336132.25507736206,5,10
