dimension,k,scann_time,fgc_time,count,fixed_size
2,100,3371.3284254074097,60.78915596008301,10,100000
3,100,3342.687487602234,36.05577945709231,10,100000
4,100,3471.178150177002,104.581093788147,10,100000
5,100,3630.621075630188,139.5181179046631,10,100000
6,100,3651.409053802491,221.31247520446772,10,100000
7,100,3721.4605569839487,352.4104833602905,10,100000
8,100,3730.246639251709,375.99999904632574,10,100000
9,100,3834.03217792511,572.5824594497681,10,100000
10,100,3837.197232246399,587.7880334854126,10,100000
11,100,3960.668182373047,684.7108840942383,10,100000
12,100,3929.338836669923,774.3988275527954,10,100000
13,100,3979.3545484542847,944.9577331542969,10,100000
14,100,3968.141031265259,1074.8275518417356,10,100000
15,100,4014.396381378174,1171.1807727813718,10,100000
16,100,3989.495015144348,1746.6273546218872,10,100000
17,100,4087.2350692749023,1689.682412147522,10,100000
18,100,4106.131029129028,1721.4743614196777,10,100000
19,100,4148.628330230713,1558.338022232056,10,100000
20,100,4148.644495010376,1827.243590354919,10,100000
21,100,4227.065658569336,2015.811800956726,10,100000
22,100,4248.28417301178,2232.236957550049,10,100000
23,100,4274.434304237366,2373.715662956238,10,100000
24,100,4283.666777610779,2131.125545501709,10,100000
25,100,4385.123348236084,2503.55544090271,10,100000
26,100,4398.456692695618,2929.825758934021,10,100000
27,100,4448.348140716553,2881.430768966675,10,100000
28,100,4440.169930458069,2860.046410560608,10,100000
29,100,4559.199309349061,3227.5493383407593,10,100000
30,100,4524.827265739441,3311.4861488342285,10,100000
31,100,4592.035937309265,3567.8898334503174,10,100000
32,100,4608.216547966003,5785.014271736145,10,100000
33,100,4787.106490135193,3342.153763771057,10,100000
34,100,4751.197957992554,4124.953103065491,10,100000
35,100,4841.444993019104,3988.853645324707,10,100000
36,100,4815.843319892883,4121.164584159851,10,100000
37,100,4937.187266349793,3988.619303703308,10,100000
38,100,4964.042544364929,4236.2016677856445,10,100000
39,100,5005.349159240723,4451.219773292542,10,100000
40,100,4991.770672798157,4322.996449470521,10,100000
41,100,5104.571771621704,4709.113049507142,10,100000
42,100,5138.022708892823,4772.963857650757,10,100000
43,100,5142.183208465576,5004.996681213379,10,100000
44,100,5214.9564027786255,4713.35711479187,10,100000
45,100,5227.109003067017,5033.239459991455,10,100000
46,100,5250.487065315248,5461.199998855591,10,100000
47,100,5472.579646110535,4920.436501502992,10,100000
48,100,5340.9897327423105,6518.57385635376,10,100000
49,100,5447.269415855408,5564.272880554199,10,100000
50,100,5469.694137573242,5751.193404197693,10,100000
51,100,5564.405918121338,5921.7857122421265,10,100000
52,100,5515.660667419434,6272.281932830811,10,100000
53,100,5671.603560447694,6343.624019622803,10,100000
54,100,5648.268675804138,5922.455549240112,10,100000
55,100,5805.64546585083,6241.421055793762,10,100000
56,100,5735.739588737488,6083.3899974823,10,100000
57,100,5845.324468612671,6043.050837516785,10,100000
58,100,5835.360240936279,6379.916143417358,10,100000
59,100,5882.738709449768,6435.092234611511,10,100000
60,100,5954.499626159668,6941.772079467773,10,100000
61,100,6015.58039188385,6703.50604057312,10,100000
62,100,6043.2373046875,6865.255618095398,10,100000
63,100,6260.334300994873,6914.77997303009,10,100000
64,100,6105.213761329651,11449.18756484985,10,100000
65,100,6349.5275020599365,7420.628714561462,10,100000
66,100,6186.843132972717,7168.854737281799,10,100000
67,100,6168.288350105286,7371.977806091309,10,100000
68,100,6169.6967124938965,8113.938474655151,10,100000
69,100,6292.033791542053,7782.542395591736,10,100000
70,100,6349.422717094421,8538.462090492249,10,100000
71,100,6470.113635063171,8116.189074516296,10,100000
72,100,6455.282115936279,7630.252289772034,10,100000
73,100,6580.495929718018,7653.311777114866,10,100000
74,100,6658.980512619019,8280.91790676117,10,100000
75,100,6738.737988471987,8432.778429985046,10,100000
76,100,6690.845012664797,9147.483134269714,10,100000
77,100,6716.568779945375,8902.45394706726,10,100000
78,100,6800.125765800476,9420.016860961916,10,100000
79,100,6858.487486839294,9126.415634155273,10,100000
80,100,6913.653922080994,9998.159384727478,10,100000
81,100,7021.964716911316,9583.590197563171,10,100000
82,100,7001.768922805786,10032.010412216187,10,100000
83,100,7086.3030433654785,9189.129495620731,10,100000
84,100,7101.523399353027,10656.864643096926,10,100000
85,100,7233.844900131226,9634.243202209473,10,100000
86,100,7227.717590332031,9958.637809753418,10,100000
87,100,7285.9514236450195,10570.817756652832,10,100000
88,100,7419.208073616028,10284.209012985228,10,100000
89,100,7311.192560195923,9496.905708312986,10,100000
90,100,7333.360934257507,10342.6735162735,10,100000
91,100,7484.485173225403,10853.260874748228,10,100000
92,100,7544.196677207947,10927.341580390928,10,100000
93,100,7574.817204475401,10644.437909126282,10,100000
94,100,7554.77237701416,10857.27365016937,10,100000
95,100,7615.333795547485,10985.102701187136,10,100000
96,100,7679.010462760925,16304.428100585938,10,100000
97,100,7738.250708580017,10904.179644584654,10,100000
98,100,7682.650113105774,11674.43814277649,10,100000
99,100,7818.109202384949,10727.458572387699,10,100000
100,100,7866.022419929504,11488.958239555359,10,100000
