dimension,k,scann_time,fgc_time,count,fixed_size
2,40,48688.11082839966,410.2311134338379,5,1000000
3,40,47436.65432929993,144.22035217285156,5,1000000
4,40,48313.72165679932,777.8139114379883,5,1000000
5,40,49401.34143829346,1832.325220108032,5,1000000
6,40,50867.16198921204,3333.890676498413,5,1000000
7,40,52929.89683151245,5263.443946838379,5,1000000
8,40,54350.13246536255,5905.179500579834,5,1000000
9,40,56421.17142677307,13091.307163238524,5,1000000
10,40,57653.38063240051,22043.66540908813,5,1000000
11,40,60224.79319572449,23143.579483032227,5,1000000
12,40,61093.30320358277,25718.53494644165,5,1000000
13,40,62154.20651435852,32814.518451690674,5,1000000
14,40,61719.35296058655,38070.92881202698,5,1000000
15,40,63457.75961875916,45261.74259185791,5,1000000
16,40,63244.71354484558,114244.54140663148,5,1000000
17,40,66361.0475063324,55675.12583732605,5,1000000
18,40,67066.06364250183,59090.02113342285,5,1000000
19,40,67991.07146263123,64756.44659996033,5,1000000
20,40,68178.82442474365,69474.25889968872,5,1000000
21,40,69734.51519012451,80799.33786392212,5,1000000
22,40,71069.50306892395,85930.64260482788,5,1000000
23,40,72069.828748703,90627.90751457214,5,1000000
24,40,70814.90540504456,113292.54627227785,5,1000000
25,40,73301.49221420288,104605.16238212584,5,1000000
26,40,74095.67713737488,115295.89223861694,5,1000000
27,40,76114.00437355042,120658.4451198578,5,1000000
28,40,74223.67119789124,122347.0561504364,5,1000000
29,40,76384.441614151,138836.22908592224,5,1000000
30,40,78520.97177505493,154733.7830066681,5,1000000
31,40,79499.2687702179,161323.60792160034,5,1000000
32,40,78880.63144683838,512585.8178138733,5,1000000
33,40,82802.64854431152,168982.48720169067,5,1000000
34,40,84924.30090904236,170455.62601089478,5,1000000
35,40,84498.08025360107,186896.6147899628,5,1000000
36,40,83586.20142936707,184871.00291252136,5,1000000
37,40,85201.86614990234,192156.71396255493,5,1000000
38,40,86025.55441856384,205407.212972641,5,1000000
39,40,86402.9188156128,207489.4819259644,5,1000000
40,40,87786.17525100708,234290.54069519043,5,1000000
41,40,88285.7666015625,222752.7141571045,5,1000000
42,40,88153.43046188354,237929.03232574463,5,1000000
43,40,90776.33619308472,224551.02396011355,5,1000000
44,40,90654.05344963074,234617.0852184296,5,1000000
45,40,93394.47402954102,259790.7111644745,5,1000000
46,40,91885.87808609007,275036.4987850189,5,1000000
47,40,94075.45042037964,267235.8419895172,5,1000000
48,40,94256.0453414917,416657.24062919617,5,1000000
49,40,97048.09212684631,284446.1541175842,5,1000000
50,40,96537.05072402954,291587.19420433044,5,1000000
