size,k,scann_time,fgc_time,count,fixed_dimension
50000,40,2437.584638595581,237.27989196777344,5,5
100000,40,3670.142889022827,102.61750221252441,5,5
150000,40,5534.393548965454,181.16521835327148,5,5
200000,40,7694.130420684814,239.43233489990234,5,5
250000,40,9671.008110046387,348.8788604736328,5,5
300000,40,12305.73844909668,410.7379913330078,5,5
350000,40,14274.430513381958,470.7202911376953,5,5
400000,40,17244.57359313965,507.2298049926758,5,5
450000,40,19934.836626052856,696.3419914245605,5,5
500000,40,21513.129711151123,726.8877029418945,5,5
550000,40,23718.494653701782,873.6140727996826,5,5
600000,40,27713.485956192017,1053.2951354980469,5,5
650000,40,31289.65711593628,1184.657096862793,5,5
700000,40,34129.7402381897,1374.8712539672852,5,5
750000,40,37344.01226043701,1522.4847793579102,5,5
800000,40,40747.41339683533,1541.8286323547363,5,5
850000,40,44223.47068786621,1859.2510223388672,5,5
900000,40,47746.60682678223,1962.1405601501465,5,5
950000,40,50657.85527229309,2075.357437133789,5,5
1000000,40,54391.23749732971,2238.438844680786,5,5
1050000,40,57408.74528884888,2481.364965438843,5,5
1100000,40,60298.4082698822,2720.0911045074463,5,5
1150000,40,64683.91299247742,2861.727714538574,5,5
1200000,40,65218.34897994995,3165.3149127960205,5,5
1250000,40,72265.24806022644,3465.11173248291,5,5
1300000,40,76556.01692199707,3681.0779571533203,5,5
1350000,40,79706.6457271576,3761.9943618774414,5,5
1400000,40,83400.75826644897,4003.4523010253906,5,5
1450000,40,88034.02733802795,4467.48948097229,5,5
1500000,40,89961.86971664429,4554.486513137817,5,5
1550000,40,95406.79597854614,4807.405471801758,5,5
1600000,40,99204.76293563843,5098.085403442383,5,5
1650000,40,102560.28437614441,5520.904064178467,5,5
1700000,40,107873.84986877441,5524.18851852417,5,5
1750000,40,111612.22171783447,5795.878887176514,5,5
1800000,40,116367.32578277588,6186.305522918701,5,5
1850000,40,118716.41421318054,6485.122203826904,5,5
1900000,40,126062.71409988403,7071.204662322998,5,5
1950000,40,148003.52263450623,5376.253843307495,5,5
2000000,40,168656.81958198547,5713.434457778931,5,5
2050000,40,144747.85542488098,5834.834098815918,5,5
2100000,40,147780.34567832947,8373.265027999878,5,5
2150000,40,147905.28273582458,8299.532413482666,5,5
2200000,40,154486.96374893188,8668.081760406494,5,5
2250000,40,158951.31015777588,8904.054880142212,5,5
2300000,40,162476.5636920929,9337.615251541138,5,5
2350000,40,170939.67509269714,9564.526319503784,5,5
2400000,40,172794.04616355896,9990.293264389038,5,5
2450000,40,180450.69932937622,10825.763940811157,5,5
2500000,40,181779.97589111328,10644.165754318237,5,5
2550000,40,189957.2253227234,11182.981252670288,5,5
2600000,40,191250.73075294495,11240.065813064575,5,5
2650000,40,200864.68482017517,11778.6865234375,5,5
2700000,40,206230.5405139923,12237.080574035645,5,5
2750000,40,217627.6969909668,12733.267307281494,5,5
2800000,40,221750.43559074402,13296.99683189392,5,5
2850000,40,223361.91725730896,14127.708435058594,5,5
2900000,40,232409.26909446716,14116.0306930542,5,5
2950000,40,233578.44972610474,14346.306085586548,5,5
3000000,40,243088.84811401367,14707.91220664978,5,5
3050000,40,254028.5496711731,15982.501983642578,5,5
3100000,40,257085.1662158966,16719.714164733887,5,5
3150000,40,258457.79418945312,16206.673383712769,5,5
3200000,40,268963.05775642395,16630.37395477295,5,5
3250000,40,273486.6154193878,17816.76959991455,5,5
3300000,40,282681.316614151,18677.769899368286,5,5
3350000,40,286559.41367149353,18979.753017425537,5,5
3400000,40,292305.91225624084,18912.989854812622,5,5
3450000,40,303380.4659843445,19030.145406723022,5,5
3500000,40,304600.4695892334,19257.930994033813,5,5
3550000,40,311782.0553779602,19708.760499954224,5,5
3600000,40,315727.3602485657,20074.235439300537,5,5
3650000,40,321191.01643562317,20787.651777267456,5,5
3700000,40,331468.6379432678,21305.686712265015,5,5
3750000,40,341891.2796974182,21948.928833007812,5,5
3800000,40,348609.39264297485,22473.958730697632,5,5
3850000,40,353095.0951576233,22629.77647781372,5,5
3900000,40,361585.3250026703,23352.95343399048,5,5
3950000,40,369447.1278190613,23630.04469871521,5,5
4000000,40,373408.0288410187,24427.135467529297,5,5
4050000,40,380354.76088523865,24939.34416770935,5,5
4100000,40,388776.12829208374,26549.519777297974,5,5
4150000,40,396018.16511154175,26471.78030014038,5,5
4200000,40,406259.75251197815,26209.941864013672,5,5
4250000,40,411824.84769821167,27162.02735900879,5,5
4300000,40,422849.34878349304,27893.693208694458,5,5
4350000,40,430406.1448574066,30037.30082511902,5,5
4400000,40,430413.3470058441,28332.659006118774,5,5
4450000,40,447968.0485725403,28779.396772384644,5,5
4500000,40,452478.080034256,30814.08977508545,5,5
4550000,40,458737.7767562866,29898.58078956604,5,5
4600000,40,463161.1578464508,30439.276695251465,5,5
4650000,40,475900.01368522644,31738.37637901306,5,5
4700000,40,484970.73888778687,32189.737796783447,5,5
4750000,40,486963.1462097168,32471.874713897705,5,5
4800000,40,489486.6421222687,34711.80868148804,5,5
4850000,40,501197.4186897278,33811.06185913086,5,5
4900000,40,515122.5664615631,34044.15774345398,5,5
4950000,40,657155.9991836548,35278.28121185303,5,5
5000000,40,652110.1424694061,35597.410440444946,5,5
